Cultural Trends and Influences, Comparison of Artwork Creation Counts between different cities, number, vertical
City,Sculpture,Installation,Photography,Textile,Metalwork,Glassware,Painting
Pinehaven,251,412,187,308,203,315,259
Springfield,232,388,313,245,279,171,152
Elmhurst,335,333,237,212,220,200,283
Ashford,261,246,123,203,207,221,139
Yorkton,323,241,346,241,250,361,207
Lakeview,258,292,311,200,203,306,293
Creston,242,99,337,274,344,183,252
Westport,326,303,353,281,287,203,280
Glenhaven,270,287,302,212,324,183,314
Dunvale,261,333,282,261,223,223,293
Rosewood,200,240,271,287,312,262,244
Zephyr,308,256,269,276,332,315,113
