Food and Beverage Industry, Sales Revenue in Food and Beverage Industry, million USD, vertical
Year,Beverages,Meat,Dairy,Vegetables,Frozen,Confectionery
2000,1000.0,1000.0,223.56,271.17,393.88,708.73
2003,314.65,764.43,306.31,218.11,199.53,479.79
2005,180.0,508.37,730.86,360.93,353.97,1000.0
2006,180.0,760.34,303.49,350.96,352.12,439.11
2008,414.94,570.06,180.0,1000.0,728.83,292.36
2009,472.54,466.3,180.0,180.0,1000.0,1000.0
2010,690.25,695.05,758.81,874.9,798.66,180.0
2011,180.0,688.5,333.36,970.07,180.0,837.22
2013,676.35,632.97,1000.0,567.37,292.56,180.0
2014,304.4,180.0,812.01,180.0,290.02,180.0
2016,813.57,340.88,446.72,180.0,1000.0,372.53
2017,329.68,509.53,180.0,815.14,1000.0,494.48
2018,395.78,337.48,182.31,906.91,218.53,207.9
2019,1000.0,180.0,665.1,1000.0,589.47,606.99
2020,285.63,327.44,397.79,288.58,180.0,248.29
