Business and Finance,Market Share,%
trend,stable_rising,volatile_falling,stable_rising
Year,Vanguard Dynamics,Starlight Innovations,Apex Systems
1952,20.58,24.18,16.57
1953,23.05,17.87,21.04
1954,22.71,14.09,22.73
1955,21.12,17.45,22.15
1956,23.0,17.56,26.15
1957,24.62,15.8,25.06
1958,26.88,13.93,27.59
1959,26.17,11.61,27.39
1960,28.87,16.61,27.25
1961,30.38,9.4,28.02
1962,30.76,6.87,29.31
1963,30.88,6.8,29.19
1964,29.54,7.96,32.72
1965,32.89,5.42,34.85
1966,32.15,2.99,35.89
1967,34.19,5.32,34.19
1968,35.23,0.51,36.81
