Business and Finance,Customer Acquisition Cost,$
trend,random_on_off_rising,stable_falling,exponential_falling,exponential_falling
Year,Aegis Corp,NovaTech Solutions,Horizon Enterprises,Vanguard Dynamics
1956,93.04,114.79,98.48,99.45
1957,96.95,100.6,85.91,82.75
1958,123.24,97.26,83.3,70.7
1959,87.3,115.16,61.58,71.84
1960,1.0,124.24,59.4,71.84
1961,1.0,103.02,69.52,63.48
1962,85.15,92.29,64.86,44.67
1963,136.71,115.16,50.15,48.94
1964,136.35,133.25,40.58,39.41
1965,136.32,132.21,39.88,35.52
1966,133.04,117.44,27.88,6.33
1967,145.17,134.39,28.84,47.6
1968,62.06,141.77,21.86,24.73
1969,24.92,146.12,18.74,16.9
1970,121.94,144.14,9.92,8.0
1971,137.5,163.55,17.56,30.69
1972,94.8,158.05,18.67,28.44
1973,1.0,153.87,8.25,38.03
1974,111.91,151.88,17.02,4.3
1975,175.55,156.25,14.34,6.53
1976,179.48,160.22,18.76,6.24
1977,177.1,172.65,5.34,18.54
1978,38.02,184.37,16.71,16.46
1979,1.0,176.99,1.0,1.0
1980,118.99,174.38,16.16,10.97
1981,191.15,162.85,23.12,12.42
1982,207.4,181.3,5.31,1.0
1983,12.61,187.1,16.44,14.76
1984,1.0,199.08,34.05,4.08
1985,74.03,192.58,12.88,15.08
