Cultural Trends and Influences,Music Festival Attendance,attendees
trend,volatile_rising,volatile_falling,random_on_off_rising,exponential_rising
Year,Azure Sky Symphony,Starlight Soundwave,Echo Bloom Festival,Terra Tempo Festival
2012,135264.29,100851.31,77712.22,85309.11
2013,123881.91,63427.77,96808.27,88902.22
2014,107623.09,77637.18,107458.68,113489.53
2015,142525.16,74938.79,102903.9,158478.49
2016,135868.98,66171.62,1000.0,156880.46
2017,156112.27,58840.29,5391.31,173387.02
2018,118287.51,92417.16,73320.42,167862.65
2019,163225.53,72510.39,147860.25,191628.22
2020,197175.66,61367.98,101023.41,227172.0
2021,197913.94,71750.33,1000.0,242294.97
2022,197761.18,82306.77,1000.0,261703.66
2023,193622.69,16466.5,1000.0,305854.53
