Cultural Trends and Influences,Art Gallery Visitors,visitors
trend,volatile_falling,periodic_stable,volatile_rising,volatile_rising
Year,Zenith Sculpture Garden,Aura Fine Arts,Ironwood Gallery,The Gilded Frame
1968,354384.92,281254.38,307035.49,237266.21
1969,254272.0,348131.55,292678.0,311417.43
1970,275287.58,344665.87,400962.96,261570.94
1971,211610.77,257375.96,384966.55,456433.89
1972,200107.11,242301.36,448327.99,394616.21
1973,182678.64,288575.26,406359.2,422677.72
1974,149648.4,354722.15,376941.02,391508.17
1975,96625.52,340868.91,412017.17,381291.11
1976,184052.05,272777.67,480977.17,558919.9
1977,106610.43,229355.57,512285.7,462293.13
1978,115754.72,283859.56,456699.78,558099.22
1979,74926.91,361964.61,599234.08,566376.6
1980,76174.0,326482.05,600226.17,534031.23
1981,31984.11,247302.79,584039.85,573938.03
1982,41282.63,212596.53,664933.47,654394.3
1983,3000.0,299159.8,677988.65,701097.17
1984,53748.37,356737.72,785810.19,721619.34
1985,3000.0,346999.73,665038.08,658460.67
1986,39904.98,265636.37,762888.07,704095.76
1987,3000.0,218532.29,847279.07,712660.22
1988,3000.0,316042.65,828291.24,834199.77
1989,3000.0,366827.84,939483.39,796239.38
1990,3000.0,342422.4,819949.18,920435.47
1991,3000.0,235749.32,892085.59,867707.82
1992,3000.0,217404.51,913663.69,930642.14
1993,3000.0,295794.12,843105.2,880418.6
1994,3000.0,383394.03,947819.9,898906.92
1995,3000.0,351969.11,989243.78,880657.82
1996,3000.0,266747.08,910581.84,986707.99
