Cultural Trends and Influences,Cultural Event Funding,$
trend,volatile_falling,volatile_rising
Year,Meridian Heritage Fund,Aethelgard Cultural Council
1993,60176969.49,56901319.86
1994,57915213.48,54693207.19
1995,51222279.25,78910998.79
1996,36952029.35,45906517.44
1997,41364900.97,75162267.73
1998,51193313.98,39545900.8
1999,25140394.62,74039758.2
2000,49002525.95,86575790.38
2001,28561536.31,75486235.91
2002,500000.0,114058895.86
2003,17308676.76,93650397.48
2004,15716169.54,99370535.06
2005,24533903.89,96468317.92
2006,22243750.18,116814804.52
2007,500000.0,93553975.01
2008,500000.0,125514387.06
2009,17133972.55,116610468.67
2010,500000.0,114576829.14
2011,11989720.07,117388475.85
2012,500000.0,127529761.56
2013,500000.0,129473365.83
2014,500000.0,99617852.64
2015,500000.0,145447181.96
2016,500000.0,132355177.26
2017,500000.0,145443784.57
2018,500000.0,145745850.99
2019,500000.0,161072090.65
2020,500000.0,138164100.56
2021,500000.0,166763026.34
2022,500000.0,198568090.58
