Agriculture and Food Production,Food Waste,tons
trend,random_on_off_stable,random_on_off_stable,stable_falling,exponential_falling,random_on_off_rising,stable_falling,random_on_off_rising
Year,FarmGate Transit,TerraTrade Network,HarvestLink Systems,AgroChain Management,Verdant Distribution,AgriFlow Solutions,CropConnect Logistics
1971,10465.72,10089.34,9524.39,9787.94,9641.87,9772.51,10208.3
1972,9639.25,10598.79,10459.1,9489.43,9509.97,10331.85,10336.19
1973,10000,10225.68,10832.14,8469.15,11372.95,11348.97,10906.78
1974,5313.32,10000,10438.51,7404.95,11445.13,10871.21,10678.37
1975,10000,7783.35,10952.39,6357.11,6557.83,10969.04,6868.99
1976,10000,10000,11549.55,6453.56,100.0,11844.37,100.0
1977,9842.46,10000,11688.29,4690.78,100.0,11827.0,100.0
1978,10404.46,10000,11847.13,4534.26,6297.83,12078.71,100.0
1979,10213.49,9556.75,12327.27,3794.38,13801.91,12381.29,100.0
1980,10000,10020.56,12509.59,4484.24,12841.31,12838.22,100.0
1981,100.0,9769.98,13379.02,3921.64,13809.0,12611.42,100.0
1982,10000,10000,13491.48,2766.78,5698.21,13943.65,9771.79
1983,10000,9500.98,14215.87,2833.83,100.0,13686.42,15491.74
1984,10205.2,10000,14546.06,2453.87,100.0,13516.93,15123.96
1985,10000,10000,14300.31,2486.67,100.0,14309.77,125.61
1986,6482.6,10000,15064.01,1494.99,100.0,14521.72,100.0
1987,10000,10000,15237.65,1952.34,100.0,14738.36,100.0
1988,10000,9410.85,15045.92,1499.41,2181.04,14568.68,1595.19
1989,10000,10000,15759.7,1727.8,14052.88,15795.32,13187.54
1990,9477.24,10000,16348.31,428.99,17275.36,16094.53,17641.08
1991,10119.02,10000,16110.19,1370.25,9069.89,15937.51,10569.49
1992,10000,435.75,16349.02,1736.17,1209.61,16190.57,100.0
1993,2834.8,10000,16372.59,1223.43,13178.27,16793.33,100.0
1994,10000,10000,16605.0,1142.94,19030.6,16916.76,6160.93
1995,10000,9797.0,16945.47,607.02,19616.91,17580.82,18885.36
1996,10000,10000,17402.57,100.0,20060.87,16995.0,19902.23
1997,3383.22,7363.33,17641.98,533.03,20400.19,17354.33,20191.58
1998,10000,10000,18197.48,1134.67,20958.97,17560.37,20254.63
1999,10000,10000,18546.94,626.2,13709.78,18363.76,21173.25
2000,9967.17,10000,18762.1,100.0,100.0,19338.44,9145.45
