Education and Academics,Alumni Giving Rate,%
trend,stable_rising,exponential_rising,volatile_falling,stable_falling
Year,Meridian Academy Patrons,Silverhaven Polytechnic Fund,Celestial College Graduates,Aethelgard Arts Circle
2005,9.81,10.13,9.4,10.78
2006,10.65,10.42,9.11,10.44
2007,10.75,12.21,9.64,9.87
2008,11.13,12.8,7.54,10.6
2009,11.96,14.67,7.35,11.11
2010,12.74,16.99,6.19,11.61
2011,12.85,18.36,5.86,12.36
2012,13.71,20.35,7.31,12.29
2013,13.96,21.39,4.48,12.37
2014,14.81,23.13,3.38,12.47
2015,15.29,26.51,5.1,13.19
2016,16.38,28.42,4.57,13.27
2017,15.7,31.81,1.01,13.13
2018,17.61,35.3,1.85,15.13
2019,17.57,37.61,1.07,15.02
2020,18.3,41.75,0.68,14.05
2021,17.66,45.72,0.92,14.12
2022,18.5,49.95,0.1,15.49
2023,18.27,55.82,0.1,14.86
2024,19.06,62.14,0.1,15.18
