Education and Academics,Student Enrollment,students
trend,exponential_falling,stable_rising,stable_falling
Year,Arcane University,Aethelgard School of Arts,Borealis Graduate School
1958,10731.29,10607.55,9746.18
1959,8807.82,9967.72,10718.28
1960,7961.71,10437.66,10400.4
1961,7329.6,11135.36,10992.06
1962,6558.58,13231.73,10861.2
1963,6364.47,12712.19,11099.26
1964,4717.46,12735.0,12960.15
1965,5007.53,12950.8,12005.95
1966,4700.74,13458.0,12214.32
1967,3087.51,14130.68,13362.5
1968,3161.02,15462.25,12491.21
1969,3137.03,15967.63,12995.42
1970,3271.51,16741.77,13937.92
1971,3104.72,16712.26,13665.39
1972,2496.97,17494.86,14226.78
1973,1612.49,16701.77,14662.26
1974,1391.61,17632.69,14121.35
1975,2280.54,18444.87,15773.69
1976,1207.96,19217.74,14997.5
1977,1107.83,20261.0,14776.57
1978,2065.74,20938.01,15474.81
1979,1110.31,21092.19,16630.31
1980,929.36,22083.77,16321.78
1981,1017.08,21973.93,17098.03
1982,1236.63,21457.4,17342.79
