Agriculture and Food Production,Agricultural Exports,$
trend,volatile_falling,volatile_rising,stable_rising,random_on_off_stable
Year,Azure Port Authority,Zenith Logistics,Port of Silverhaven,Borealis Shipping Co.
1974,10998167.55,6663476.73,11370382.2,10370285.49
1975,7776547.33,8882564.15,9368566.03,9194348.4
1976,7919634.22,11217676.58,8670623.11,10000000.0
1977,8136107.07,10058768.98,10504909.82,8963977.55
1978,7199881.8,15802386.07,13002960.9,10000000.0
1979,9016718.25,14161302.42,12664192.46,10000000.0
1980,8839090.39,16363714.82,11846863.98,10000000.0
1981,3680455.43,15540835.72,13106801.9,12047102.41
1982,3947976.93,17798320.01,15190430.38,10000000.0
1983,1766690.44,16403179.32,14447140.82,7322759.45
1984,4145549.93,16546010.96,13246302.37,10000000.0
1985,3469369.91,20373960.88,15018010.31,10000000.0
1986,1831487.83,19547808.77,18391304.62,10000000.0
1987,402743.49,19486084.71,15302320.94,10000000.0
1988,100000.0,22390291.28,17095680.37,8100037.5
1989,1030677.39,20159116.66,16748857.39,10000000.0
1990,2556834.66,22715279.84,17553193.42,10000000.0
1991,100000.0,22092445.62,18005875.89,9745097.49
1992,100000.0,24997908.06,16490192.46,10000000.0
1993,100000.0,25454693.88,17938347.1,6355622.59
1994,100000.0,27821961.88,19938262.53,10000000.0
1995,100000.0,26097838.52,21011121.95,10000000.0
1996,100000.0,25162274.24,21606985.47,10300334.35
1997,100000.0,26981518.35,22068092.89,10226310.04
