Energy and Utilities,Electricity Demand,MWh
trend,exponential_falling,random_on_off_stable
Year,Aethelgard Power Grid,Meridian Energy Network
2000,994537820.73,1040893373.55
2001,947561481.13,1006598186.6
2002,738230250.32,1000000000.0
2003,659854104.9,958586344.52
2004,661305961.84,1000000000.0
2005,623255486.3,1000000000.0
2006,625164882.08,1000000000.0
2007,461455055.36,1000000000.0
2008,428122949.6,1000000000.0
2009,352959389.98,521994057.85
2010,413553147.06,1000000000.0
2011,303283117.42,1000000000.0
2012,200719407.98,1000000000.0
2013,256124786.53,1000000000.0
2014,149096151.71,854812374.71
2015,202512812.02,1000000000.0
2016,123637950.26,1000000000.0
2017,206051566.38,1000000000.0
2018,95864011.08,1000000000.0
2019,209130620.8,884381828.58
2020,172024690.47,1000000000.0
2021,70264864.93,1000000000.0
