Energy and Utilities,Carbon Emissions,tons
trend,random_on_off_rising,stable_rising,stable_falling,volatile_rising,stable_rising,stable_rising,stable_rising
Year,Solara Energy Corp,Stellar Grid Solutions,Borealis Renewables,AquaFlow Utilities,Zephyr Waste Solutions,Meridian Gas & Electric,TerraGen Power
1986,4373392.31,5297569.99,4626223.52,4977733.4,5671506.83,4874673.7,5659441.09
1987,5349904.79,5154086.02,4814115.53,5781318.32,4322552.24,5082109.89,4692438.6
1988,5784302.46,6016466.2,5304618.35,5490068.63,5733853.7,5681164.85,5325564.96
1989,5673456.92,6041537.2,5911298.65,6417729.25,5622706.9,5151703.03,4980359.0
1990,6013953.85,6415151.64,5573058.38,6551017.62,6210884.69,5816220.77,5884694.04
1991,3059154.27,6562693.34,5536971.35,6879373.17,6017334.47,6572214.44,6464965.69
1992,50000.0,7334296.99,5656033.09,7803825.09,7133451.11,6577434.75,6213585.7
1993,50000.0,6941744.75,5669951.96,8043743.56,6534289.73,6380624.12,7090684.31
1994,50000.0,6878107.31,6587080.53,8121099.52,6492409.89,6811794.63,7223095.53
1995,4310516.22,7077942.95,6629571.31,8430276.59,7727707.88,7100110.35,6819670.34
1996,7536729.35,7796139.73,6410545.05,8925535.98,6927007.57,8109158.46,7277676.27
1997,7158565.89,8288136.8,6386841.81,9168075.74,7731227.9,8460781.39,7409151.03
1998,6070128.35,8517521.38,6999317.76,9117033.8,7315062.21,8186231.71,7769040.99
1999,1698791.83,7529644.26,7067785.91,10058246.49,7539436.55,7453725.89,7780128.32
2000,2137443.07,8641895.73,7362072.91,10469508.59,9427586.03,8372484.64,8774392.08
2001,7344918.96,7941796.72,7878308.06,11015405.57,8691524.15,8888927.84,9268452.95
2002,8260701.88,9228923.08,7042545.04,11079525.3,8894802.94,9806106.7,8883304.45
2003,3247201.84,9103895.44,8040331.17,11014949.34,9576951.54,9484951.94,9783121.14
