Food and Beverage Industry,Customer Traffic,customers/day
trend,volatile_falling,stable_rising,stable_rising
Year,Sky High Cafe,Crimson Plate,The Golden Spoon
1951,558.16,488.31,557.21
1952,451.26,563.85,562.17
1953,440.48,554.73,512.61
1954,467.87,576.27,563.01
1955,441.79,610.85,640.45
1956,376.33,630.14,581.22
1957,305.02,591.23,645.1
1958,301.22,632.15,692.66
1959,206.89,654.69,708.74
1960,166.98,709.57,787.27
1961,173.94,725.6,758.23
1962,215.89,699.04,761.45
1963,124.96,828.34,812.01
1964,136.42,871.79,847.09
1965,5.0,904.35,907.09
1966,122.42,876.81,858.76
1967,65.06,847.7,873.06
1968,10.62,868.63,935.42
1969,30.64,897.39,920.89
1970,5.0,996.49,975.9
1971,6.05,983.56,968.95
1972,5.0,1078.87,989.02
1973,5.0,997.4,1054.93
1974,5.0,1095.4,1084.05
1975,5.0,1130.38,1059.33
