Food and Beverage Industry,Food Cost Percentage,%
trend,volatile_falling,exponential_rising,periodic_stable,volatile_falling,stable_rising,volatile_falling
Year,The Golden Spoon,Stellar Bistro,Crimson Plate,Sky High Cafe,Emerald Diner,The Rusty Kettle
1975,33.68,29.19,30.52,27.43,29.82,32.06
1976,26.02,32.67,36.65,25.67,32.79,28.85
1977,26.48,33.51,34.29,24.76,30.87,26.95
1978,24.65,38.39,26.6,24.65,36.04,25.98
1979,18.42,45.01,22.89,20.68,35.13,24.42
1980,18.99,47.88,30.16,22.44,39.3,21.05
1981,17.47,53.39,36.42,15.29,40.52,21.41
1982,21.09,57.24,34.83,20.54,41.64,19.48
1983,13.85,67.13,26.72,15.78,43.43,18.37
1984,15.15,71.47,22.85,11.62,43.89,14.09
1985,14.5,79.36,29.75,11.89,43.36,12.43
1986,13.2,83.35,37.14,12.04,45.63,9.13
1987,11.16,95.54,34.38,9.4,49.23,6.83
1988,5.02,100,25.24,8.43,47.94,5.63
1989,4.05,100,22.66,2.58,50.53,7.9
1990,2.02,100,31.42,5.81,52.18,4.6
1991,0.96,100,37.69,3.13,53.66,3.28
1992,0.3,100,35.4,0.3,55.3,1.2
1993,1.29,100,25.19,0.3,57.29,0.3
1994,0.3,100,24.16,0.3,58.17,0.3
1995,0.3,100,29.36,0.3,60.08,0.3
1996,0.3,100,36.57,0.3,61.92,0.3
