Food and Beverage Industry,Average Order Value,$
trend,exponential_rising,stable_rising,stable_falling,stable_falling,exponential_falling,random_on_off_rising,stable_falling
Year,Large Group Booking,Breakfast Rush Order,Seasonal Special Order,Loyalty Member Order,Standard Dine-in,Premium Delivery,Express Takeaway
1969,32.65,28.09,28.09,28.35,28.37,31.1,28.24
1970,32.38,28.98,30.53,30.63,25.86,30.35,27.08
1971,36.18,37.56,30.92,34.44,24.74,34.91,32.24
1972,39.6,34.76,32.13,33.59,22.6,26.06,32.48
1973,46.05,36.05,32.0,33.06,21.55,4.79,31.95
1974,47.79,33.6,34.02,33.18,18.35,17.46,32.25
1975,49.53,38.24,34.56,34.55,15.3,35.21,36.89
1976,59.96,39.35,33.81,35.08,15.14,34.52,38.59
1977,63.95,42.04,38.25,38.41,13.07,7.89,35.49
1978,70.24,40.42,37.26,37.17,11.36,0.3,37.79
1979,76.6,44.35,37.45,40.45,8.8,6.57,40.24
1980,86.1,44.5,41.11,43.53,10.17,39.28,39.55
1981,94.19,47.83,42.24,43.25,8.7,45.89,43.61
1982,105.28,49.41,39.75,40.8,8.82,25.0,41.89
1983,111.54,49.56,40.58,40.16,4.6,0.3,41.4
1984,125.25,51.23,45.61,43.15,7.45,0.3,43.78
