Food and Beverage Industry,Customer Traffic,customers/day
trend,stable_falling,periodic_stable
Year,The Rusty Kettle,Stellar Bistro
1970,498.12,504.56
1971,528.15,620.32
1972,583.74,584.58
1973,513.59,442.55
1974,608.86,382.65
1975,596.32,495.24
1976,552.16,612.21
1977,588.76,598.74
1978,670.78,429.69
1979,691.5,385.29
1980,741.05,494.56
1981,634.77,622.23
1982,721.37,577.89
1983,653.35,437.47
1984,729.3,412.58
1985,745.43,503.9
1986,740.23,621.72
1987,806.12,573.99
1988,747.31,417.22
1989,766.52,392.45
1990,826.37,493.87
1991,813.98,614.3
