Healthcare and Health,Average Treatment Cost,$
trend,periodic_stable,volatile_falling,volatile_rising,volatile_rising,stable_falling,stable_rising,stable_rising
Year,Pediatric Treatment,Standard Consultation,Chronic Care Program,Preventative Screening,Emergency Procedure,Specialist Surgery,Rehabilitation Therapy
1987,5002.29,5500.65,4701.66,4959.25,5064.45,4926.1,4762.76
1988,6251.52,5765.49,5404.76,4218.86,5157.29,5269.58,5432.51
1989,5581.09,4460.03,5882.06,6147.84,5312.6,5948.02,5428.21
1990,4257.18,4248.34,6320.04,5669.31,6101.19,5694.42,6046.43
1991,3704.28,3307.24,6074.12,7999.73,5931.89,5496.7,5808.99
1992,5058.73,4880.75,6697.57,7479.98,5398.52,6116.71,5953.56
1993,6245.36,2919.37,7515.44,7298.98,5886.65,7016.96,6650.15
1994,6047.94,4734.25,8022.14,8093.44,6291.12,6240.49,6605.2
1995,4415.55,1980.68,8307.74,7946.33,6536.14,6842.63,6237.15
1996,3683.96,1796.08,9015.13,8895.23,7364.92,7492.08,7183.24
1997,4862.73,2601.19,9108.6,10714.33,6020.7,7144.15,7711.79
1998,6093.08,2163.44,9201.75,9281.35,6470.34,7613.27,6963.58
1999,5461.85,1740.66,11323.92,9022.72,7221.43,8125.18,8611.95
