Healthcare and Health,Vaccination Rate,%
trend,random_on_off_stable,periodic_stable,exponential_rising,random_on_off_rising,periodic_stable,random_on_off_rising
Year,Stellar City Core,Azure Enclave,Sector Beta,Crimson Quarter,Outer Rim Settlements,Verdant Ward
1953,77.67,75.05,72.26,71.9,75.8,73.69
1954,75,93.9,82.06,73.95,93.18,79.11
1955,45.19,84.82,93.5,80.51,85.07,85.82
1956,75,64.68,100,84.49,63.26,36.51
1957,75,55.13,100,86.63,56.42,0.75
1958,75,73.64,100,33.0,74.9,0.75
1959,75,91.77,100,0.75,92.53,14.5
1960,57.87,85.28,100,22.84,86.0,75.72
1961,75,64.5,100,83.09,65.24,96.34
1962,75,56.33,100,100,55.93,49.24
1963,75,77.0,100,100,76.32,0.75
1964,75,93.15,100,41.42,92.89,72.23
1965,46.08,85.61,100,0.75,85.83,100
1966,75,63.92,100,44.6,63.06,100
