Human Resources and Employee Management,Cost per Hire,$
trend,volatile_falling,stable_falling,exponential_rising
Year,Zenith Enterprises,AstraCorp,Lumina Solutions
1950,5038.91,4766.76,4918.49
1951,4813.45,5107.1,5769.65
1952,4181.97,5054.86,6441.69
1953,3714.86,5281.75,6851.09
1954,3781.61,5656.86,7545.06
1955,4013.99,5592.71,8015.03
1956,3077.78,5998.66,8737.09
1957,2641.23,5804.81,9714.45
1958,2767.15,6172.72,10624.15
1959,2474.13,6554.34,11644.15
1960,2070.12,6389.53,12850.77
1961,1330.01,6468.87,14339.42
1962,1176.64,6857.27,15956.82
1963,1039.56,6769.99,17324.43
1964,381.49,6966.2,18857.27
1965,993.85,7330.79,20870.34
1966,370.37,6980.43,23090.05
1967,185.56,7473.31,25848.69
1968,50.0,7988.93,27829.86
1969,50.0,7935.28,30344.36
1970,50.0,7627.94,33839.98
1971,50.0,8206.4,37107.35
1972,50.0,8257.68,40622.09
1973,50.0,8263.19,44678.45
1974,50.0,8317.12,49517.53
1975,50.0,8832.32,54159.71
