Human Resources and Employee Management,Productivity Rate,units/hour
trend,random_on_off_stable,stable_falling,periodic_stable,volatile_falling
Year,Engineering Department,Research & Development,Operations Staff,Management Team
1965,9.4,8.47,10.03,8.97
1966,9.76,10.86,12.4,8.57
1967,10,11.23,11.78,8.13
1968,1.45,10.5,8.64,7.32
1969,10,11.07,8.28,6.71
1970,10,12.22,10.32,6.69
1971,10.02,10.85,12.33,6.22
1972,9.27,11.08,11.72,5.3
1973,9.22,13.17,8.42,6.88
1974,10,13.25,7.95,5.38
1975,1.58,12.23,9.02,4.17
1976,10,12.77,12.81,4.2
1977,10,12.68,11.36,0.1
