Real Estate and Housing Market,Price Index,index
trend,exponential_rising,exponential_rising,stable_falling,stable_falling,volatile_rising,stable_falling,stable_falling
Year,Aether Market,Ironwood Market,Starfall Mart,Crimson Bazaar,Echo Trade,Nova Exchange,Silverleaf Emporium
1996,129.95,157.48,163.13,138.19,168.45,161.57,143.28
1997,156.03,166.97,165.74,134.35,171.05,161.93,152.05
1998,188.04,176.48,157.56,157.22,203.82,147.07,174.15
1999,188.0,196.02,154.67,169.01,181.5,164.29,155.74
2000,208.69,222.3,162.43,181.47,178.45,179.35,161.67
2001,228.42,254.47,183.21,167.47,209.96,177.5,177.26
2002,266.02,254.55,174.8,165.38,236.93,171.3,182.13
2003,292.86,297.01,186.33,189.1,217.64,179.76,179.31
2004,314.2,322.9,200.23,183.29,250.66,178.97,191.44
2005,348.49,350.2,201.57,197.55,264.36,191.62,178.6
2006,384.48,403.31,181.73,182.58,268.39,204.65,204.56
2007,429.45,442.89,204.71,190.75,264.03,186.21,194.95
2008,470.95,482.25,208.89,200.15,280.91,195.26,199.96
2009,523.59,506.56,210.89,214.18,308.71,212.92,220.43
2010,585.42,571.25,204.36,201.11,320.96,226.92,219.77
2011,633.39,629.12,207.43,224.92,321.81,216.38,218.65
2012,690.07,681.46,229.06,239.89,348.34,233.58,218.06
2013,755.7,758.26,223.97,225.87,344.21,206.54,211.96
