Agriculture and Food Production,Crop Yield,tons/hectare
trend,volatile_falling,exponential_rising,exponential_rising
Year,Sunstone Farms,Ironwood Ranch,Whispering Willows Estate
1999,97768.94,89354.03,106297.04
2000,108889.14,110747.67,98793.38
2001,88697.04,118658.96,121659.89
2002,66215.2,131909.43,142812.21
2003,83601.07,150428.96,140360.39
2004,69382.3,151800.48,162858.14
2005,54482.89,181946.84,164567.98
2006,57822.55,182261.11,211853.44
2007,44954.88,210492.97,213005.71
2008,52574.0,228493.01,237306.78
2009,64676.83,264245.9,251667.92
2010,42201.3,282729.26,279980.93
2011,47352.73,310374.92,308074.5
2012,18408.78,352074.46,346158.77
2013,17396.9,380723.27,369854.83
2014,21278.24,404302.0,416476.2
2015,5013.11,467587.87,463019.23
2016,1000.0,509395.19,504042.45
2017,2735.49,563325.85,553312.98
2018,1000.0,605950.07,624142.23
2019,1000.0,675285.09,672577.42
2020,1000.0,742761.38,740902.85
2021,1000.0,818976.81,797092.06
2022,1000.0,891781.74,893009.78
