Retail and E-commerce,Delivery Time,days
trend,exponential_rising,random_on_off_rising,stable_rising,exponential_rising,volatile_falling
Year,Drone Delivery,Express Couriers,Rural Logistics,Autonomous Vehicles,International Freight
1951,2.6,2.45,2.74,2.58,2.58
1952,2.69,2.17,2.66,3.08,2.89
1953,2.99,2.66,3.31,2.73,2.04
1954,2.87,2.06,2.29,3.05,1.79
1955,3.69,0.17,3.3,3.57,2.09
1956,4.31,0.03,2.49,3.67,2.09
1957,4.09,0.03,3.12,3.93,1.55
1958,4.45,0.03,3.67,5.11,2.11
1959,5.51,1.6,3.46,5.59,1.54
1960,5.54,3.79,3.4,5.88,1.5
1961,6.99,3.41,4.29,6.42,0.74
1962,6.8,1.33,3.68,7.18,1.83
1963,7.84,0.84,3.88,8.02,0.71
1964,8.78,2.91,3.99,8.31,0.34
1965,9.36,3.89,4.1,9.88,0.83
1966,10.94,4.1,4.33,10.37,0.15
1967,11.42,4.17,4.39,11.69,0.22
1968,12.8,4.42,4.58,12.44,0.39
