Retail and E-commerce,Online Sales Volume,$
trend,volatile_falling,volatile_rising,exponential_falling,volatile_falling,volatile_falling,volatile_falling,random_on_off_rising
Year,Millennials,International Customers,Urban Shoppers,Subscription Members,Luxury Consumers,Budget Shoppers,Rural Buyers
1983,5862230.33,6923207.37,4709241.58,5873210.45,5406728.76,4663108.93,8710734.74
1984,313692.68,1290850.24,5546899.97,5063316.02,8110407.45,3430986.72,2653544.71
1985,8390882.68,7016960.19,4560314.49,4994178.45,3319564.03,5575018.67,6195323.18
1986,2340471.2,6691076.52,2585237.07,3467099.91,3460201.21,1817744.67,8394522.83
1987,10698791.67,3656368.12,2487178.17,2470279.1,5979549.82,5753730.96,630454.12
1988,1885664.51,8720790.64,2481820.61,5502621.25,2824449.47,4196348.69,147478.91
1989,6507324.18,7832574.94,3074155.2,5451407.95,4461671.59,4068048.66,6474524.88
1990,2473071.94,9128298.6,2740917.77,1555110.58,4008397.22,3068859.09,4550884.06
1991,2107841.73,9082849.11,3340086.95,1722918.51,2829336.56,3619637.17,7158824.1
1992,776069.24,6800428.84,2692518.12,4063906.5,1925859.8,410296.61,7137596.86
1993,2383455.54,6979354.07,2906697.96,335626.4,946002.65,3682301.93,4434370.4
