Science and Engineering,Patent Applications,applications
trend,random_on_off_rising,random_on_off_stable,volatile_falling,exponential_falling,exponential_rising
Year,Oracle Systems,Luminara Solutions,Echo Dynamics,Crimson Group,Aether Corp
2004,4762.66,4716.79,5053.52,4642.72,4523.58
2005,5446.64,4964.24,3981.94,5891.47,4242.46
2006,5438.11,5000,4847.44,4590.22,7016.58
2007,5546.69,4179.56,4505.33,3929.45,6873.07
2008,4100.25,5000,1884.33,3371.98,6045.46
2009,173.63,5000,4561.89,3320.71,7928.82
2010,50.0,5200.26,4043.56,2760.41,8406.26
2011,253.04,4536.06,2261.28,2460.04,10266.15
2012,4517.55,5331.07,3181.42,1762.86,10895.78
2013,7955.17,5000,871.97,1668.55,11548.95
2014,7062.75,3138.39,1853.88,1730.65,12176.21
2015,7263.34,5000,1240.87,2071.51,14487.91
2016,7193.48,5000,2395.86,1423.3,16137.53
2017,5428.56,5289.52,2079.06,434.18,17553.65
2018,50.0,4814.26,274.39,899.05,18923.81
