Science and Engineering,Patent Applications,applications
trend,stable_falling,exponential_rising,random_on_off_stable,volatile_falling,stable_falling,stable_rising
Year,Nova Industries,Crimson Group,Echo Dynamics,Starburst Enterprises,Oracle Systems,Luminara Solutions
1972,6299.78,4862.17,5619.75,2760.97,4021.62,5057.11
1973,4780.05,5616.53,4874.23,4439.15,4980.97,5285.89
1974,5052.69,6698.47,5531.83,5101.47,4551.91,5011.63
1975,5372.55,6455.9,5000,2496.04,4649.51,5850.16
1976,6173.6,7555.73,1518.36,3328.9,5654.16,6016.67
1977,5487.25,7894.79,5000,2622.05,6187.83,7091.28
1978,5152.92,8162.01,5000,3210.7,5650.02,7790.7
1979,5534.11,9365.63,5000,2922.96,6225.85,7423.92
1980,5466.59,11445.45,5000,1820.8,6556.45,7126.89
1981,6103.82,12619.98,4355.26,2688.51,5761.76,7614.02
1982,5739.74,13069.89,5000,2658.73,7163.33,7396.02
1983,7031.37,14479.36,5000,1765.23,6908.23,8010.2
1984,6362.57,16006.02,5000,1872.88,6288.56,8435.35
1985,6416.17,17207.3,5000,1229.24,6122.97,8379.96
1986,7383.21,19854.9,3236.07,50.0,7520.61,8772.45
1987,7497.09,21363.37,5000,950.3,8065.68,9108.83
1988,7323.58,22738.0,5000,2629.67,8116.03,9436.9
1989,7385.36,24739.31,5000,50.0,7251.4,8829.82
1990,7640.62,29180.5,5000,50.0,7288.89,9412.05
1991,8012.95,31025.52,2407.94,50.0,7684.29,9594.22
1992,8678.68,34490.65,5000,50.0,8216.42,9762.14
1993,7802.83,38150.74,5000,50.0,7995.58,10074.6
1994,7809.64,40783.67,5000,50.0,8095.96,10618.87
1995,8313.32,44724.6,5000,50.0,8395.49,11149.38
1996,7761.79,48323.46,5000,50.0,10051.93,12262.32
1997,8460.71,53394.33,2185.86,50.0,7138.6,12541.34
1998,9921.17,60106.98,5000,50.0,9524.02,11798.1
