Science and Engineering,Patent Applications,applications
trend,random_on_off_stable,exponential_falling,exponential_rising
Year,Crimson Group,Oracle Systems,Nova Industries
1998,4873.69,5807.7,5016.87
1999,5128.45,5211.17,5822.88
2000,4954.56,3611.72,6153.38
2001,4142.94,4313.38,6096.55
2002,5020.74,3929.11,7107.02
2003,5000,2659.83,7765.64
2004,1502.55,1231.69,7682.78
2005,5000,3246.37,9117.56
2006,5000,1029.98,9731.44
2007,2067.11,2499.79,11439.67
2008,5000,1463.19,12981.99
2009,5000,853.13,14341.22
2010,5000,1483.18,14679.32
2011,5926.79,632.97,17353.24
2012,5109.28,1329.64,19702.24
2013,5000,1244.88,20144.58
2014,3136.27,586.52,23345.79
2015,5000,1486.84,25719.21
2016,5000,913.04,28209.8
2017,5000,362.66,30678.62
2018,5131.76,519.87,33258.07
2019,5000,147.76,36570.06
2020,1412.68,818.03,40870.16
2021,5000,658.87,45077.18
