Science and Engineering,Patent Applications,applications
trend,random_on_off_rising,periodic_stable,random_on_off_rising,stable_falling
Year,Starburst Enterprises,Nova Industries,Crimson Group,Luminara Solutions
1961,4716.38,4990.76,4174.87,4892.44
1962,4494.3,5725.6,5304.51,5105.87
1963,4391.39,5853.56,5537.94,4869.99
1964,5470.62,3966.27,5086.78,6159.21
1965,3405.28,4099.52,5071.39,7020.42
1966,50.0,4943.07,4178.83,5482.2
1967,3355.89,7161.78,502.21,5312.57
1968,7055.29,5247.78,50.0,5542.63
1969,6285.18,4825.6,50.0,6103.69
1970,7872.89,3516.5,1114.76,6355.97
1971,6424.23,4961.51,6919.24,6582.48
1972,6844.02,5965.23,7143.91,7132.23
1973,6232.66,5563.62,3317.65,7167.14
1974,763.43,4249.24,50.0,6947.73
1975,50.0,4153.94,50.0,7096.25
1976,50.0,5104.88,4337.57,6520.18
1977,50.0,6689.09,8295.48,7973.89
1978,3385.48,5642.05,8341.72,7889.59
1979,8178.74,4061.62,8498.96,8405.5
1980,8793.02,3681.33,7636.7,8039.41
1981,3923.7,5143.98,1378.88,8153.4
1982,50.0,6234.27,4785.08,8160.49
1983,4627.93,5738.63,9248.1,8521.42
1984,10380.12,4193.12,9573.83,9382.2
1985,9522.82,3679.32,9814.0,8440.6
1986,9837.23,4803.78,10970.03,9212.82
1987,11581.29,5607.67,9663.24,9854.18
1988,10976.65,5708.72,9595.99,9062.25
