Social Media and Digital Media and Streaming,Average Watch Time,minutes
trend,volatile_falling,exponential_falling,periodic_stable,random_on_off_stable,stable_rising,exponential_rising
Year,Heavy Users,Free Users,Mobile Users,New Users,Desktop Users,Premium Users
1961,25.27,32.6,29.05,29.37,26.35,33.24
1962,32.76,26.02,39.45,30,32.03,30.57
1963,23.48,30.21,33.44,18.48,33.49,37.28
1964,20.22,22.83,25.65,30,32.41,40.32
1965,20.18,23.22,22.12,30,37.47,38.58
1966,13.96,19.26,30.59,30,38.51,51.05
1967,20.4,19.1,38.73,30,38.03,48.13
1968,16.17,10.25,33.96,0.3,36.11,61.79
1969,18.8,11.61,27.26,30,38.22,64.98
1970,10.51,15.17,22.15,30,46.62,71.04
1971,19.85,5.43,32.89,30,46.6,76.01
1972,4.88,0.3,37.65,30,47.94,86.95
1973,16.4,4.05,33.73,29.99,49.9,91.53
1974,7.32,11.36,25.45,30,43.71,102.01
1975,7.9,0.99,20.76,16.93,49.49,118.09
1976,0.3,1.89,30.03,30,52.8,122.46
1977,0.3,2.08,37.65,30,61.23,137.86
1978,4.98,2.24,34.96,30,52.02,153.75
1979,1.47,3.83,22.56,30,57.82,166.74
1980,0.3,3.46,23.18,19.33,56.53,182.48
1981,0.3,6.08,32.78,30,63.28,200.64
1982,0.3,5.92,37.31,30,62.08,220.32
1983,0.3,4.76,37.54,30,62.28,245.1
1984,0.3,3.83,25.76,30.83,60.83,269.65
