Social Media and Digital Media and Streaming,Content Uploads,uploads/day
trend,periodic_stable,volatile_falling
Year,CrimsonLink,Starburst Online
1995,9834460.13,11015003.59
1996,12550361.96,9635449.7
1997,11465656.34,8292921.67
1998,9355431.4,8578664.47
1999,7460500.54,8976461.4
2000,9426978.1,8123514.86
2001,12510095.12,6613304.95
2002,11879790.34,3352821.57
2003,8907014.69,5081102.01
2004,7337505.79,3307323.36
2005,9431493.75,5753296.1
2006,13193684.27,2096167.08
2007,13024566.72,1208601.98
2008,8199848.36,2835992.78
2009,8614540.45,100000.0
2010,9267734.28,2714984.27
2011,11492047.63,1801897.01
2012,11380632.04,2018314.64
2013,9061108.08,918858.4
2014,8047079.08,100000.0
2015,9080998.11,100000.0
2016,13821018.76,100000.0
2017,11069703.1,100000.0
2018,7615826.02,100000.0
2019,7464136.38,100000.0
2020,9886889.02,100000.0
2021,13578937.54,100000.0
