Social Media and Digital Media and Streaming,Ad Revenue,$
trend,exponential_falling,volatile_falling,stable_falling,exponential_rising,volatile_rising,volatile_rising
Year,NovaStream,OracleFeed,EchoWave,Starburst Online,AetherNet,Luminara
1986,468748634.2,256991824.08,587948214.16,584165882.96,377668223.06,674084394.37
1987,613557169.02,495023387.37,642220601.32,492597353.75,351045904.06,713816146.3
1988,271007776.89,312008641.08,543793310.01,369037559.36,618078024.05,496618911.77
1989,353388279.88,287324827.64,655332981.77,550035799.6,353031471.18,526207237.76
1990,396320085.5,580270827.83,313401112.92,622428120.82,1220207567.92,441219552.54
1991,333390147.87,541442860.15,466729577.51,627920508.86,770418566.97,552356773.98
1992,376906592.93,57314526.1,412358887.04,804960564.05,505578144.48,698716393.06
1993,139052696.47,165268280.7,464058020.36,909518932.37,834382123.73,587602386.49
1994,398076394.73,328249420.44,661147529.54,1011222070.8,729833370.53,429073635.72
1995,210221639.9,213601740.95,486013608.52,1252808211.11,1101540264.24,641648264.58
1996,5000000.0,5000000.0,669062696.59,1081590906.65,966567749.81,866651310.2
1997,62637543.51,225404330.38,628878395.59,1430153627.24,749601931.66,769675993.81
1998,286143468.36,337071610.34,665372542.73,1722369190.84,1122126317.57,1135531692.13
1999,136655770.99,161855718.5,585623352.36,1598411555.14,1230758993.61,789249876.58
2000,337009541.41,5000000.0,567491233.4,1979700368.57,1213267778.1,829623800.52
2001,348634768.21,66525279.38,739133622.49,1947776401.32,1051249551.6,1114325898.9
2002,97396173.39,575681835.84,852473954.65,2350853123.62,1312447909.39,1307704014.72
2003,5000000.0,130321011.15,727536991.42,2538648660.38,1354421966.68,1319183295.83
2004,50339636.01,5000000.0,623605902.9,2899579566.7,731775608.97,1111743423.08
2005,270536577.94,5000000.0,768136050.28,3029038393.6,1306881017.2,1268960396.89
2006,5000000.0,468721819.81,559898489.14,3250169885.51,1264474870.82,1122545119.22
2007,5000000.0,5000000.0,879663603.16,3627034417.34,1094300757.31,1303799987.4
