Business and Finance,Market Share,%
trend,volatile_rising,exponential_rising,exponential_rising,volatile_falling,exponential_rising,stable_rising,volatile_falling
Year,Horizon Enterprises,Vanguard Dynamics,Ironclad Ventures,Apex Systems,NovaTech Solutions,Aegis Corp,Starlight Innovations
1960,19.79,20.04,21.8,21.74,21.89,17.74,18.37
1961,19.27,21.0,24.27,23.53,20.42,23.31,19.75
1962,25.01,23.92,24.23,19.48,23.49,22.9,20.78
1963,25.34,24.72,26.61,20.41,27.29,24.44,19.33
1964,23.61,29.01,28.25,11.29,28.65,23.51,15.35
1965,28.01,31.51,34.35,15.89,32.54,24.94,15.66
1966,30.48,36.23,35.61,13.7,33.97,24.86,12.94
1967,28.37,40.54,38.16,9.97,39.13,25.94,10.61
1968,36.11,41.4,41.36,11.24,45.24,28.88,12.17
1969,37.58,47.15,43.9,10.85,45.35,32.47,7.71
1970,39.26,52.78,53.46,9.49,51.21,29.61,11.21
1971,34.86,59.29,57.25,6.03,58.5,29.45,4.21
1972,37.78,64.16,63.32,2.42,63.96,31.17,8.3
1973,40.7,70.59,69.51,4.62,69.03,32.45,1.02
1974,43.38,75.53,75.39,4.82,74.64,33.05,2.49
1975,42.02,80.96,84.35,2.66,83.36,32.61,0.2
1976,41.57,90.88,91.01,0.2,92.03,38.02,6.26
1977,45.18,99.56,100,4.6,100,37.2,0.2
1978,49.69,100,100,0.2,100,37.42,0.2
