Sports and Entertainment,Social Media Followers,followers
trend,stable_rising,volatile_falling
Year,@AetherNetSports,@LuminaraPlay
1971,8633053.98,8467951.7
1972,10452316.69,8319703.43
1973,9491794.84,8636157.79
1974,11812377.63,6587988.5
1975,13163322.72,8254914.59
1976,12038254.55,7521607.31
1977,12352485.68,4936221.81
1978,11107509.58,9303292.38
1979,12769254.07,7967538.78
1980,15929285.52,5363127.15
1981,11538577.15,5832390.2
1982,17832840.85,7712558.26
1983,13346118.44,1330774.26
1984,17214193.83,100000.0
1985,17031214.28,3731985.2
1986,12742476.84,100000.0
1987,15905364.23,591584.23
1988,22405842.4,100000.0
1989,18717415.95,4127737.48
1990,25055822.24,100000.0
1991,20226587.34,2420441.15
1992,18050440.82,100000.0
