Sports and Entertainment,Stadium Attendance,tickets/session
trend,periodic_stable,exponential_falling,random_on_off_stable,stable_falling
Year,Nova Games,Ironwood Classic,Crimson Clash,Aether Cup Finals
1976,50899.98,47381.13,45909.87,46577.56
1977,52380.18,48010.54,53398.2,52173.16
1978,46019.69,44404.06,51149.37,53579.89
1979,45135.57,37416.17,50000,52792.08
1980,51824.14,29940.91,13585.33,53051.51
1981,54956.49,30392.18,50000,55095.47
1982,50453.59,18799.82,50000,58061.47
1983,45493.12,21943.35,54212.74,56762.48
1984,51985.85,22563.68,50000,61016.18
1985,53894.78,10740.25,37913.81,55559.14
1986,53254.59,17245.36,50000,69643.67
1987,44586.6,25060.65,50000,66085.92
1988,46428.55,22709.6,50000,63524.2
1989,56658.34,11561.13,41093.88,78678.19
1990,54496.37,16971.63,50000,58290.83
