Transportation and Logistics,Vehicle Maintenance Cost,$/month
trend,volatile_rising,exponential_falling,stable_falling,random_on_off_stable,random_on_off_rising,volatile_falling,stable_falling
Year,Cold Storage Vans,Aircraft Engines,Autonomous Drones,Heavy Machinery,Electric Trucks,Railway Cars,Diesel Fleets
1951,1608.29,1284.12,1317.76,1526.45,1682.62,1644.6,1434.32
1952,1331.51,1431.47,1522.16,1505.2,1542.96,1204.56,1751.85
1953,1808.61,1203.52,1567.49,1579.37,1786.75,1310.87,1799.04
1954,1827.57,1216.56,1746.45,1500,1009.41,1361.13,1456.4
1955,2255.63,1070.38,1989.07,364.89,15.0,1487.91,1811.78
1956,1963.3,665.72,1667.52,1500,15.0,1295.09,1719.86
1957,2386.19,1032.48,2081.84,1500,15.0,1033.23,1987.16
1958,2323.48,857.07,1865.69,1476.59,15.0,1015.34,1766.15
1959,2173.71,679.62,2023.53,1501.85,879.02,460.89,1816.13
1960,2751.44,653.22,1680.6,1500,2177.62,734.31,1626.56
1961,2744.79,400.64,1915.86,973.47,2126.17,580.93,1921.69
