Transportation and Logistics,Warehouse Utilization,%
trend,exponential_rising,random_on_off_stable,volatile_rising,exponential_falling,periodic_stable,volatile_rising
Year,Seasonal Facilities,Urban Micro-Warehouses,Bonded Storage,Hazardous Material,Cross-Docking,Perishable Goods
1964,89.82,92.05,70.21,84.01,82.36,88.0
1965,95.34,88.05,100,86.92,100,99.01
1966,100,92.13,95.8,70.07,97.49,100
1967,100,85,100,56.72,75.49,100
1968,100,65.08,100,55.94,65.82,100
1969,100,85,100,39.89,86.81,100
1970,100,85,100,54.85,100,100
1971,100,85,100,36.94,100,100
1972,100,84.49,100,44.11,70.29,100
1973,100,85,100,42.17,63.7,100
1974,100,43.96,100,29.0,87.81,100
1975,100,85,100,31.58,100,100
1976,100,85,100,27.14,93.11,100
1977,100,83.01,100,22.11,67.85,100
1978,100,90.16,100,20.4,70.82,100
