Cultural Trends and Influences,Cultural Engagement Distribution by Category (2024),%
parent,child,value
Root,Creative Expression,34.08
Creative Expression,Visual Arts,10.94
Visual Arts,Painting,5.28
Visual Arts,Sculpture,5.66
Creative Expression,Performing Arts,23.14
Performing Arts,Theatre,15.1
Theatre,Drama,5.09
Theatre,Experimental Theatre,5.0
Theatre,Opera,5.01
Performing Arts,Dance,8.04
Root,Digital Culture,44.3
Digital Culture,Streaming Culture,30.37
Streaming Culture,Cultural Podcasts,30.37
Cultural Podcasts,Creative Interviews,20.33
Cultural Podcasts,Art Talks,10.04
Digital Culture,Online Exhibitions,13.93
Root,Cultural Participation,21.62
Cultural Participation,Art Festivals,21.62
