Education and Academics,Education Distribution by Category (2024),%
parent,child,value
Root,Formal Education,26.39
Formal Education,Primary Education,17.02
Primary Education,Private Primary,5.49
Primary Education,Public Primary,11.53
Formal Education,Secondary Education,9.37
Root,Higher Education,23.0
Higher Education,Postgraduate,6.74
Higher Education,Undergraduate,16.26
Undergraduate,Liberal Arts Colleges,9.13
Undergraduate,Research Universities,7.13
Root,Informal Learning,50.6
Informal Learning,Online Education,50.6
Online Education,Skill Platforms,50.6
Skill Platforms,LinkedIn Learning,7.07
Skill Platforms,Skillshare,30.61
Skill Platforms,Udemy,12.92
