Human Resources and Employee Management ,Employee Distribution by Category (2021),%
parent,child,value
Root,Employee Lifecycle,31.94
Employee Lifecycle,Recruitment,18.63
Recruitment,Candidate Evaluation,12.02
Recruitment,Job Posting,6.61
Employee Lifecycle,Onboarding,13.31
Onboarding,Mentorship,7.79
Onboarding,Orientation,5.52
Root,Employee Development,22.55
Employee Development,Training Programs,12.99
Training Programs,Skill Workshops,12.99
Employee Development,Performance Management,9.56
Root,Workplace Wellbeing,45.51
Workplace Wellbeing,Health & Safety,45.51
