Real Estate and Housing Market,Housing Market Distribution by Category (2023),%
parent,child,value
Root,Commercial Real Estate,38.16
Commercial Real Estate,Retail Spaces,32.63
Retail Spaces,Street-Level Shops,12.96
Retail Spaces,Shopping Centers,19.67
Shopping Centers,Strip Malls,6.57
Shopping Centers,Outlet Centers,6.98
Shopping Centers,Malls,6.12
Commercial Real Estate,Office Buildings,5.53
Root,Residential Property,30.38
Residential Property,Single Family Homes,12.26
Single Family Homes,Detached,6.54
Single Family Homes,Semi-Detached,5.72
Residential Property,Multi-Family Homes,18.12
Multi-Family Homes,Apartments,18.12
Apartments,Mid-Rise,7.01
Apartments,Low-Rise,11.11
Root,Rental Market,31.46
Rental Market,Long-Term Rentals,31.46
