Social Media and Digital Media and Streaming,Social Media Distribution by Category (2022),%
parent,child,value
Root,Content Creation,21.14
Content Creation,Podcasting,13.5
Podcasting,Apple Podcasts,5.86
Podcasting,Spotify,7.64
Content Creation,Video Platforms,7.64
Root,User Engagement,28.63
User Engagement,Sharing and Virality,10.85
Sharing and Virality,Memes,5.09
Sharing and Virality,Reposts,5.76
User Engagement,Reactions and Comments,17.78
Reactions and Comments,Comments,17.78
Comments,Pinned Comments,12.17
Comments,Threads,5.61
Root,Platforms,50.23
Platforms,Messaging Apps,50.23
