Cultural Trends and Influences,Cultural Activities Distribution by Category (2024),%
parent,child,value
,Cultural Activities,72.81
Cultural Activities,Art Exhibitions,64.63
Art Exhibitions,Gallery Shows,36.64
Gallery Shows,Group Exhibitions,26.2
Group Exhibitions,Art Collectives,9.53
Group Exhibitions,Collaborative Projects,16.67
Collaborative Projects,Cross-Disciplinary,9.63
Collaborative Projects,Community Art,7.04
Gallery Shows,Solo Exhibitions,10.44
Solo Exhibitions,Modern Art,5.42
Solo Exhibitions,Classical Art,5.02
Art Exhibitions,Online Exhibitions,27.99
Online Exhibitions,Virtual Reality,22.68
Online Exhibitions,NFT Gallery,5.31
Cultural Activities,Public Art,8.18
,Artwork Sales,27.19
Artwork Sales,Primary Market,21.83
Primary Market,Galleries,9.45
Primary Market,Art Fairs,12.38
Art Fairs,International,6.33
Art Fairs,Regional,6.05
Artwork Sales,Secondary Market,5.36
