Food and Beverage Industry,Food Industry Distribution by Category (2020),%
parent,child,value
Root,Food Processing,33.81
Food Processing,Dairy Processing,17.7
Dairy Processing,Milk Products,6.46
Dairy Processing,Ice Cream,11.25
Food Processing,Meat Processing,16.1
Meat Processing,Packaging,10.11
Meat Processing,Slaughtering,5.99
Root,Food Distribution,38.42
Food Distribution,Wholesale,28.5
Wholesale,Regional Hubs,19.33
Wholesale,Export Networks,9.17
Food Distribution,Retail,9.93
Root,Food Production,27.77
Food Production,Agriculture,18.15
Agriculture,Crop Farming,5.22
Agriculture,Livestock,12.93
Food Production,Aquaculture,9.62
