Business and Finance, Data on the monthly revenue of different companies, USD, t
NovaEdge,MarketZen,BrightEdge
80774,19926,74626
48198,42226,39677
42946,35926,55243
44057,44825,32795
59012,62247,35778
52372,34090,63979
57625,55616,100957
47399,64516,73576
46401,57319,49623
53253,36522,52563
41054,45478,77787
63365,49616,63775
69233,41379,43369
36155,53358,43763
55658,56376,45858
61569,61948,5808
25945,57674,55961
54297,44218,23060
53394,31967,129879
60740,59531,31080
71330,54545,41329
52502,12948,65691
83446,64641,77536
394,36022,8506
61284,51404,33390
55762,29984,52159
56405,38956,35798
35674,64515,70919
8186,65802,65577
71568,42098,79996
47130,54705,66726
54550,53222,47321
44841,51859,44776
113162,58037,59769
38258,28046,69185
25904,55622,50191
30863,36286,39626
25649,59088,42158
22640,59002,82714
57289,22027,64205
83337,61475,75114
78636,45607,95551
72924,44106,54251
56186,33697,54519
56741,69162,78273
30439,49017,80437
42655,92729,30116
58394,39196,62814
87774,75811,66830
61619,47392,70778
56550,56684,80683
82005,50857,58174
45584,81788,60629
80581,63479,41442
67064,55664,57810
43678,75996,53434
30520,53118,39207
60733,48550,51386
53840,49108,55366
24536,46824,56777
20832,40614,28396
33019,57228,48568
16554,50026,45155
40957,57618,85008
71265,46081,70202
60454,42942,77245
41093,18293,68388
49457,68111,46519
56236,72323,24234
48658,36719,56395
68385,67857,44474
50565,34726,44420
48376,48012,57038
66856,42400,53184
35374,59601,56414
27951,33651,51063
27946,36592,47861
50216,47346,53031
75624,67441,97535
20470,84375,38946
64737,62087,87587
51522,58657,45596
37890,47812,65862
47392,36191,69132
19137,52412,47839
37596,75695,50518
62652,47625,78125
38655,63015,17142
62594,41697,36142
86448,59305,16024
36749,48795,40727
56312,69089,27595
35970,34316,75241
49356,48952,58863
42736,13638,47961
53870,27983,75849
61193,61318,59428
55258,31527,44372
43207,35812,49268
52932,47393,37582
65388,52279,61015
49868,64495,78752
39494,38064,56412
60360,79346,45573
51812,61853,60812
84243,27849,85412
34114,33545,49685
44657,95706,55467
36241,36127,44562
79486,42622,48161
64741,46059,22603
41006,64831,27955
73940,52173,56704
34496,58117,57586
54246,67495,42973
24596,60371,44109
57619,66852,57183
