Science and Engineering, Research and Development Investment by Country, million USD, normal
Rosewood,Glenhaven,Fairmont,Springfield,Zephyr
512,413,588,608,706
187,405,428,1130,809
333,483,567,746,915
401,666,466,774,547
499,569,521,340,485
717,766,759,743,737
681,502,791,1006,758
452,481,343,639,1030
664,270,244,258,873
495,759,601,631,1028
641,322,998,652,475
259,536,171,281,471
249,467,262,528,677
190,505,406,568,608
579,507,800,646,740
676,241,707,351,916
734,330,380,829,401
384,424,286,658,313
654,457,749,536,736
730,530,587,884,861
525,457,15,932,185
515,574,271,705,690
538,710,430,526,174
805,485,119,397,588
458,467,369,709,669
207,536,258,745,697
605,269,297,575,808
334,614,146,450,389
292,448,938,633,618
882,502,594,467,360
276,466,664,541,1068
408,643,283,554,954
141,624,406,802,730
499,582,195,493,396
308,641,561,774,1204
585,353,473,588,363
711,348,864,801,768
465,425,519,754,122
527,686,367,782,988
378,547,658,589,503
111,475,814,510,465
459,141,260,734,749
561,496,472,351,262
564,472,821,277,1104
137,781,645,754,663
356,645,806,540,506
699,357,238,569,827
53,532,511,549,748
860,421,825,682,796
39,425,804,764,228
810,692,43,655,772
590,601,21,533,690
342,568,621,727,318
64,663,271,286,777
165,236,314,503,955
529,497,329,792,641
492,725,547,668,834
554,278,704,769,731
275,157,301,334,928
709,460,333,180,659
412,577,505,743,933
374,510,449,665,392
575,743,715,923,765
864,490,577,696,894
228,458,479,843,1133
152,592,413,666,688
227,379,567,647,906
330,598,836,671,615
666,516,730,690,1072
175,326,797,1014,376
387,552,676,842,881
459,779,618,538,531
400,581,252,469,593
832,58,547,765,738
381,792,377,757,471
366,469,948,956,1156
298,530,438,745,483
605,615,691,511,716
109,631,469,906,457
607,493,475,734,921
422,608,331,546,566
552,534,320,576,1010
296,481,273,725,722
453,609,397,647,526
568,424,316,713,472
474,410,284,813,667
828,128,723,684,197
697,317,697,662,835
367,470,491,867,617
504,683,302,949,952
95,728,374,645,317
398,499,713,837,755
414,738,687,823,566
264,334,580,663,1003
499,424,108,532,228
347,504,538,316,458
808,335,381,200,153
263,492,850,627,475
219,240,883,336,451
348,704,604,643,603
698,422,286,594,944
223,461,177,410,872
548,199,115,671,487
495,203,576,464,864
830,621,314,537,464
509,444,608,479,566
439,667,650,459,329
290,340,466,597,960
452,746,371,476,406
367,438,348,666,651
644,258,494,810,825
206,411,470,476,562
574,488,578,473,785
364,595,450,276,429
457,422,628,699,804
