Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, skewed
Streamo,Vido,PixelX,Vizzle
12973,12494,29528,14688
7678,11257,14620,14918
7728,15612,10406,16004
7455,12003,10660,16033
10499,9311,23922,17034
7195,10389,18883,15623
8073,10001,17106,14999
9372,10232,12066,14741
11311,12133,16952,16045
10092,13236,13456,14321
11219,10678,18200,14378
12044,14072,13347,14078
8001,8892,21434,14731
12130,11670,13253,16283
7877,11424,21715,14373
8258,10873,11594,14211
8290,9317,24137,14723
10722,9896,19442,16314
6353,10298,19366,15175
10075,10471,18051,17298
8412,12428,11549,16829
9640,13698,10295,15325
7364,11027,19899,14812
7541,9481,15846,14879
12684,14412,19297,14169
8867,10476,13935,14715
10106,9354,27627,15624
14769,10713,16066,14709
10493,10031,13196,15150
10740,11561,22098,14521
9052,10857,21854,14380
9166,11234,20173,15007
9564,9594,22590,15635
7177,9258,33418,14881
8939,13611,17765,14891
10008,9120,26206,14461
8542,10042,11485,14765
11598,10994,17289,14264
12945,11120,20426,14526
6906,10299,22846,14453
7682,10551,20566,14966
9614,10709,9516,14885
5820,11087,25258,15132
14013,13510,12224,15845
8518,13256,19218,14991
8170,10325,13697,15164
8916,9217,9511,17228
9982,10857,15786,16071
8395,8916,18842,15039
5789,12041,11347,14601
6781,10193,14493,15352
12432,10175,21025,16128
7148,14958,16904,14503
8165,10730,19056,16797
9471,9323,20282,14464
9015,10691,14102,15496
13032,12140,19994,14895
9345,10305,16748,16242
6211,9439,20064,14008
9130,16489,13641,15473
14492,9068,12027,15100
13845,11156,13805,15067
7281,11604,15910,15405
10766,12798,32984,15472
8738,9579,11202,15258
7352,13263,9328,15624
14408,10960,13946,15220
8485,10164,12944,14907
11039,16538,13321,15859
10573,9975,18621,16914
8980,9769,10101,15459
6476,10829,29928,14847
8632,10093,17418,17045
7022,9889,16509,15471
6403,10837,15414,14467
11205,12840,16084,14610
6545,10012,14082,14614
8506,11089,8559,14795
12431,11957,11146,14363
7179,9806,12128,15945
8598,9886,21663,14493
7765,14482,31095,14726
7976,12600,9317,14811
9630,13215,12387,15146
12073,9543,10449,15025
9350,9943,16630,15417
8906,10625,11582,16110
8816,10248,19453,14488
8361,11255,17938,14679
8891,16815,25617,16496
5738,12027,15845,14419
10020,10562,30332,14051
9761,10510,19488,15746
10296,11258,8677,14954
6165,11204,10731,16649
8844,9578,32830,15582
8764,10682,14240,15706
6899,10994,20043,15218
9805,10346,14965,15004
12446,14136,22044,16106
10026,13981,27421,15595
7958,11032,11623,14531
10820,13943,17334,15489
7547,11205,21594,15439
7336,10562,22567,14709
8249,11155,18157,14205
9648,9975,25049,15118
12642,11786,11500,15556
5881,13201,14623,14744
8002,9288,12182,16648
12473,16123,10050,14862
9735,10388,16733,14854
8686,10828,32440,14831
9678,13426,26248,16707
10561,11421,10886,15203
9075,11596,12718,14814
8482,11922,12368,16324
9360,11834,20813,14995
