Business and Finance, Data on the monthly revenue of different companies, USD, t
BluePeak,SkyBound,SmartHub,BrightEdge,DataPulse,EcoCore
48667,23763,70454,45506,33683,23091
63513,61121,80148,48037,60973,8014
68329,55695,41035,55464,54628,66738
96215,53129,23030,70235,65971,31797
38375,48361,42903,39501,92489,57107
69885,34692,47502,58055,24465,38071
43424,61133,47205,58636,38067,13841
60318,63562,5739,14577,54681,30580
43576,38843,59388,40441,65487,39452
70753,28794,6020,54369,24587,58876
71081,55587,40912,42104,27950,40732
45082,45425,63171,57418,38187,46533
52954,52596,31391,50079,12243,52173
44128,44483,50273,55511,57023,61054
45814,42181,37494,46409,43356,49889
45475,40255,31697,67750,76332,51024
67661,35352,53393,62797,49677,50383
62276,134629,58708,30211,52645,51666
49167,53226,52824,45725,45793,68727
73905,58544,54898,12542,59186,44798
71515,49054,28004,53367,57955,76049
63876,48956,44849,69090,71918,57117
43677,56163,52695,86206,62193,51804
56586,95983,46672,31702,38504,72885
61931,51295,43292,44913,69895,57088
20718,52871,47173,78621,47718,83423
38815,71775,65716,108361,58713,47015
61869,56048,50113,20230,40772,57785
43518,62792,86031,28727,28766,74101
62151,57371,57027,34487,61383,24637
67439,94013,55561,12960,47686,42463
64101,44973,53507,10382,34775,70868
51385,56803,58236,50915,74534,58710
60998,36092,47897,22185,92016,42393
58120,66440,57383,29299,59850,63787
84989,73340,62371,33634,50305,61896
33674,30816,5885,66714,42340,51600
62068,42893,66337,51577,61572,43954
58728,59194,34232,64029,54003,38543
27679,28425,42958,74872,46919,67588
61906,33780,43659,59312,40543,51694
82127,50650,48755,53389,64867,48387
53348,52002,46875,44927,26262,33399
27832,34849,46520,30490,41643,57091
77600,55998,33330,78145,65457,50280
46505,61165,64774,31590,83454,24853
66402,58338,45408,48161,54675,41325
65649,51661,47298,38736,22988,30147
53989,40772,78331,54733,56427,51323
49215,30398,58650,42373,61757,58429
58865,75955,10765,56578,55495,50318
67678,50312,39935,93553,63125,55087
53262,35058,66836,56970,52764,50279
49151,47242,43983,12208,102679,46106
30670,78591,48980,58712,55938,36722
63963,54803,66616,40992,97462,94062
47671,28917,42193,73703,71879,62534
82220,81976,53685,39626,53941,115619
49282,35300,6820,41455,65556,49604
50162,56339,67603,28158,64801,35163
62323,78105,106484,46785,37742,40413
29200,61803,37662,38387,40625,44171
74687,61507,33893,43982,60283,53372
65690,57646,34814,41492,43316,75288
69703,95707,49502,57919,88813,63088
57124,37908,64353,22670,53386,52156
49988,59347,54009,31637,81629,37890
47776,51943,35044,52195,46026,38036
49141,60632,87918,55098,11303,37291
19717,34417,61631,294,36185,46649
58035,45029,60923,18380,53795,8766
56946,39907,69994,25556,91602,68409
50146,36063,50248,50486,65299,48212
31484,48409,20483,31548,90490,45204
76825,45420,32822,34910,51259,61384
51372,39959,76616,78888,78033,15191
88421,33929,35047,38826,2604,62216
80215,53375,38890,59447,71209,50154
70970,56676,65864,66163,67769,40697
51793,53735,33752,33663,59498,61661
56329,55816,55805,47457,74327,56593
69133,52958,25706,76346,92886,26724
77314,51351,101130,48814,48990,59772
67206,64775,73725,50279,78784,49498
70768,35636,59103,52689,64730,29973
70221,10391,55236,22344,41974,64988
58140,73693,65668,3404,25383,68657
49019,50927,47784,57607,58630,35100
49230,31421,24486,41411,37027,39199
49077,44648,85983,28323,28348,75345
60436,67494,46989,35219,48170,6643
51096,52580,49151,60344,25094,47535
53918,44947,45424,34191,65290,43671
58498,72524,49199,23551,60739,44432
56869,56985,26613,43073,61258,37507
45804,60069,61624,48956,63962,51268
55582,21066,55872,54817,18811,33232
39229,54715,57544,48975,66046,38601
66100,56833,53325,28840,34415,24509
26663,61523,51717,37498,96360,36378
68685,51875,46629,48281,56444,49298
28553,48606,54589,50066,40771,48736
74156,72218,50716,28602,62204,67375
73267,68427,42567,40496,58867,15119
80238,40749,66026,44225,67053,47808
54459,63362,80415,41268,37774,57300
26413,47036,36998,41362,29363,20632
72493,45182,45317,43934,52918,50931
75968,67842,56504,39175,63196,54325
64869,54779,64236,54395,65131,34454
69915,44473,46128,54033,44020,59631
49316,36969,68654,8795,55281,47617
62729,59080,72132,31183,74930,29586
56337,62610,28642,43885,94391,56016
