Business and Finance, Data on the monthly revenue of different companies, USD, t
PrimeVue,DataPulse,CoreLogic
67088,51065,81324
55721,29046,73986
40194,62681,65759
74227,42992,53381
66246,32224,60324
72619,59802,45612
26537,52370,60455
42154,38352,52476
45678,78211,78302
62714,40471,66421
48315,48099,38008
49157,57756,68433
54434,28973,42696
59240,40678,56347
39803,28841,61731
48486,47321,52276
79977,52354,54987
53068,44554,49611
69223,49934,55638
81563,45364,67425
3272,57479,44068
26823,55931,59254
21279,41862,27536
42916,49183,64079
65287,57768,46568
54709,31621,85566
50815,54707,61857
30486,38092,86019
25318,21140,57346
44590,57650,28920
19133,40072,65232
42535,48890,44096
40053,55741,47737
45777,23999,58590
57396,51229,51279
60077,60031,36885
127021,30206,60781
58908,29173,47115
94096,52527,69632
30837,35076,68641
31239,50839,46837
6455,32254,53867
7759,44519,51854
8820,17944,45982
58890,39923,61702
34142,69552,67179
38440,48453,57561
54113,50252,42904
42065,55695,23665
40533,23271,42106
43236,53138,65265
32901,53774,47264
52541,21672,58768
41143,73673,67391
39415,38536,86885
46391,48417,61042
59889,33962,45886
11084,47256,40484
9233,49140,70202
55746,39044,34794
54984,37833,72095
25442,50584,49033
38491,43097,55852
60093,31232,69246
33034,30790,105456
49232,23110,47356
63416,57119,79617
25646,32690,58289
58797,51038,69571
96012,53899,80258
38361,38314,76954
8218,39379,66159
60701,72591,53060
22871,52851,60354
15042,52887,48108
55307,48946,51706
44416,53479,90088
48933,44843,59473
46814,68,66777
64181,64233,69995
50689,39019,20542
31897,41083,75875
60101,50412,82678
108608,40517,46385
62567,16157,71853
45469,45709,31449
50814,24460,60731
21947,48155,70730
58341,11122,37319
69336,48596,82294
56769,61867,55404
72117,26174,22629
40291,35421,67071
89647,43620,36335
67504,27953,57401
37788,36901,50444
35180,44320,43711
36067,40096,99024
51091,2914,61926
40536,51246,42660
61993,32468,65967
6521,27434,54638
73452,40930,55999
33385,59123,60070
17974,46215,72710
54993,70218,101327
12727,38435,43656
51744,35006,8633
33780,20651,42377
47328,99163,34660
60991,47188,34889
74655,24176,44817
59844,51574,51507
51477,95557,64760
45735,17247,62764
50471,45714,68898
35395,57686,48337
