Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, skewed
Last Ember,Echoes,Nightfall
1316,510,546
230,265,352
993,480,786
601,695,923
252,615,412
128,426,496
472,347,763
388,127,1104
743,346,703
897,900,701
913,598,743
120,417,927
339,376,545
370,222,269
710,500,837
483,310,613
349,286,340
416,163,875
648,433,524
1476,1089,560
228,994,775
1033,423,880
719,551,200
1200,322,781
495,363,419
1061,862,547
293,466,417
593,424,487
690,1114,307
534,805,614
1350,232,821
201,505,1149
872,668,1462
979,563,464
258,214,953
199,175,434
565,133,590
282,386,443
552,844,998
790,581,441
668,383,610
503,238,346
404,250,184
583,884,1308
405,241,548
923,572,577
511,421,321
487,1126,635
706,763,1523
764,647,824
332,365,892
1062,522,607
892,255,585
1039,343,289
349,797,385
854,366,1466
614,291,1451
195,458,446
605,476,883
567,413,430
474,932,846
662,271,677
402,176,981
465,210,419
638,380,915
425,854,502
993,483,487
445,323,833
228,627,659
392,377,534
230,210,210
855,493,638
1129,168,524
583,800,378
672,241,391
296,576,672
1039,667,474
252,193,1475
731,280,1084
428,1154,954
243,603,173
885,844,1207
497,1089,449
998,806,891
1034,492,1227
550,326,352
819,1119,397
371,357,1067
365,317,1080
394,343,517
860,497,471
709,377,627
347,336,1347
1107,426,534
571,432,701
176,787,1011
951,500,420
727,214,731
464,957,132
679,409,760
486,387,553
408,719,484
324,703,623
384,573,411
586,274,531
321,220,557
653,581,175
1219,662,495
653,391,239
685,392,427
464,259,483
322,486,352
290,361,812
740,284,1357
354,401,492
1338,273,859
203,332,355
215,303,658
