Tourism and Hospitality, Statistics on the number of one-day visitors to different attractions, Visitors, skewed
Whisper Reef,Willow Grove,Celestial Arch,Sunset Cliff,Thunder Canyon,Maple Arbor
8819,3712,24766,12405,5825,16358
7962,12711,4331,18114,4769,15609
9506,9888,8246,6270,13631,6303
8954,8971,11971,8051,8611,15631
17067,6724,6103,16094,16385,6305
5759,8935,6394,12053,9934,19475
9768,18287,13723,5312,6520,5119
15603,12923,5666,8933,7615,9113
7715,6518,9083,16304,15794,14849
9510,9929,9212,4362,6706,8715
4971,5772,10014,26825,14084,10329
6683,7823,15321,13057,9618,5210
19830,6298,11055,15173,8777,11604
20853,12353,9206,10463,9116,3357
7338,7411,12961,6044,12475,19058
11270,7144,25523,28681,14058,10742
6548,10125,13507,20000,5407,18204
10859,9979,8117,10948,8480,6580
12553,5065,7320,6553,6979,7453
6043,4411,13310,5809,16983,6099
5968,8086,15514,10128,17609,11769
5516,40698,5110,14427,23705,12395
21190,12163,11017,16712,17279,11957
11521,5699,9650,13554,6096,11070
7619,4595,13179,8216,7482,4966
21449,5721,3964,13883,7804,7310
5394,5638,4054,26074,6749,4754
6915,9569,9514,15875,14341,5420
9720,6850,21969,4393,10486,14536
9845,13754,18651,12704,20352,11107
14110,15970,5373,18439,12476,21394
16283,7217,8614,8100,6494,5590
9934,11659,5056,7579,6570,13476
6213,14983,17112,12686,26456,13519
22363,13218,10888,11824,7969,6737
13295,12453,9658,8556,15424,6216
4310,14088,6242,27150,7612,5948
11664,15081,5649,12394,11057,12131
21256,10505,11271,7848,9434,5134
7580,4373,8367,5619,8476,9239
10599,15476,4953,8674,7046,13781
6454,8972,11339,15926,6340,8856
16867,8408,7555,5273,18404,5740
15098,14108,16156,10350,14440,14294
28765,14758,11189,17901,17981,13441
12890,27963,10817,5354,4436,8839
13941,31509,15600,7518,13855,18619
9121,5797,13352,10622,13224,9623
11394,15045,13585,6754,15590,11240
7516,7745,7711,8911,4548,10985
4992,5004,13439,6307,8252,6574
8690,15572,3938,11929,8974,5168
11323,24600,16141,14180,10090,6055
17041,12992,14165,8166,15379,13798
8267,8816,11757,17638,6959,9236
4731,5708,21361,22839,10011,9697
5056,11152,5078,10248,10271,6325
6287,3543,21034,15059,24719,18100
7082,7908,22644,15323,7564,10666
7492,5748,3823,5553,12932,10404
8466,8339,3912,19786,13345,16554
5659,16176,3560,4097,4813,11781
13494,11476,18255,15938,16135,7231
27813,10763,11961,6781,10893,7402
13986,8511,16756,11666,21114,5760
7119,12752,5634,5108,8981,9805
12856,8542,9181,17645,14088,7492
15265,4192,20300,7909,13703,4436
13486,5676,6091,16421,7684,8107
14531,13505,18462,8736,13920,4864
20140,7417,8128,17141,14031,14692
7497,10795,5016,8597,17057,12795
10029,6481,20602,13607,17472,3616
9786,12386,11923,15797,12403,14259
12896,10738,3930,5896,8735,8310
11890,3864,8281,10385,5447,11874
6087,3499,17319,17420,9216,9058
5925,14360,11391,7467,4625,6153
7922,3979,12732,12775,17387,4348
5104,4285,20162,4789,24768,24040
7190,8066,13184,10757,12074,28135
14029,24395,13702,12483,22413,13320
16532,6069,17341,18780,7257,12444
7511,9920,6599,11028,9736,10081
15592,7448,6511,24340,11294,9813
9147,5630,12950,15724,3795,10504
11996,5491,9112,28537,8517,6577
12147,4880,5184,26379,7993,6971
17954,8182,10286,31103,10198,11063
4619,17645,14306,11559,10895,4593
19001,7960,21821,12589,4736,6396
8832,8790,9493,35164,8996,14689
12490,4749,7677,15141,13014,5457
9034,5256,4731,6229,4916,12950
8815,5274,3579,13315,13876,9646
8967,18664,10888,21606,6651,5931
11539,20137,13443,13071,8554,7201
8047,6123,11864,17475,16168,5099
13817,13773,11830,15851,17732,14611
7769,7922,11287,9286,8664,7287
9322,10475,9243,10961,16581,9344
13466,9257,7055,14212,8805,12241
12819,18523,10294,6193,9118,29546
19933,10792,3564,7426,8208,5338
7141,27678,6408,6671,22429,11490
16941,15042,5942,5484,5615,9813
7493,5925,4644,16507,19326,12826
6381,4658,7274,6963,25532,8212
7946,14570,4327,16385,13517,15432
5711,9185,9196,9118,14649,7097
7951,10507,7710,7645,4681,14699
9082,15976,7039,6894,6943,4717
18754,6635,11445,11170,7579,8914
14280,8056,8112,17133,17239,11834
4024,13340,28955,10108,8559,28311
4066,15428,4526,12728,4677,10027
12720,9105,7034,13018,7715,12741
6727,4192,10688,6787,7418,8615
12863,7449,19636,16915,11711,16334
22899,16803,7298,7363,14890,11964
