Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, skewed
Dunvale,Elmhurst,Springfield,Ironwood,Creston
54181,44166,80585,81174,68746
50663,75667,43717,93581,54959
50264,82942,53211,93641,54338
73881,49727,48115,54006,69861
70533,74449,53809,57934,33575
39089,41025,62554,42218,53988
70808,36424,68775,41220,48377
87780,86589,66488,101873,42393
88731,45980,75639,33752,57201
62215,46457,61104,49951,57740
41065,29197,90815,46865,35759
48876,76825,39630,47289,81703
61615,42107,77726,56768,55843
83632,55610,92128,73177,85488
42230,45583,58683,37523,49793
66904,62766,56697,88745,91675
46212,41741,51603,68025,48217
84539,31022,45804,51972,43369
127549,52356,45707,48938,36204
72274,56873,46617,58183,50512
86429,45270,37833,30467,56922
70129,74098,43908,34059,54800
64887,45475,56755,85161,48228
55157,48275,50967,55563,49242
59254,74519,46823,56914,42928
53646,48867,78694,55467,64323
39578,71728,55230,42432,75728
38487,35937,63152,34458,46967
51015,82495,60708,85398,60570
73260,28882,73248,94065,35904
40046,50002,44391,30934,47021
40486,65401,79115,55701,98111
37683,111656,40249,37306,51740
67638,36268,37937,41279,34808
56307,31433,52079,30752,53430
43423,53148,66907,61096,70874
38138,50664,91394,69067,54795
32992,79785,65006,48235,52177
92849,79400,37076,95497,41113
104434,39470,55861,35391,64094
47101,100048,55974,60600,63748
77178,39145,76477,33797,28495
90321,47737,81286,80696,46358
78416,58616,45068,61723,70614
57646,84286,59969,40395,65361
32964,45057,76759,70374,38543
64955,46336,49678,57903,49869
54615,47735,51522,75618,42410
41222,86344,49305,50094,78674
54417,78543,49767,56191,31143
44358,59822,67727,52466,51616
48825,65338,94056,50629,43791
33448,54876,71559,46814,89237
82313,35273,59398,75743,56183
48455,81145,53306,37930,51749
56608,71209,58347,30979,42216
49566,55468,130433,32406,57446
36749,54620,146885,68584,66149
43050,42855,63513,50222,64612
43981,44674,102466,69693,38793
63121,60432,73196,51704,64668
111708,38258,43939,53302,63291
38063,88619,66971,66333,45012
84609,62947,100821,68096,90515
109501,54463,43473,102896,81575
38230,59947,40524,29486,36889
46806,49612,82943,60512,83587
38768,70036,55611,68732,90521
54093,45301,62680,34313,31562
57351,51835,35417,34825,45503
84232,104746,48702,85675,52213
37668,45793,55144,36041,62341
103099,70858,37419,93081,63634
55725,56118,64193,67885,47054
43413,34205,50382,51040,38675
33490,45224,39056,61165,113319
51226,36671,55127,101451,48707
52342,41095,68736,66825,78427
35838,59359,61600,53220,50959
40192,49582,64313,54626,123348
33193,31172,48061,73686,42547
62710,33847,43086,44857,59959
101841,54267,60217,45613,66524
60560,38214,60874,72819,47781
32222,37044,80796,85282,46816
39437,67112,45835,37445,54951
61249,49134,46917,78987,59794
38441,70577,55912,41858,62456
38921,62739,69370,100834,63311
110383,78394,106305,69069,45402
37460,120882,50930,30874,74094
63881,41329,89477,32528,62397
64231,47704,85085,55338,75240
53903,58564,70332,43829,63737
36873,45485,54766,71295,46117
46207,51141,41183,62369,37035
67491,41587,52045,155420,40966
65247,83224,78100,45204,35418
53418,51552,74013,47299,50164
86389,46594,78389,38145,28695
117633,46760,55668,34201,56541
35331,67165,99916,73613,66148
90147,71661,60922,75586,37114
39209,48654,116453,44023,46974
59331,46447,67678,44714,101888
121002,41954,73590,52222,63167
75869,57157,44961,110615,105940
59910,53201,40042,51696,39683
35790,38182,47341,42653,55802
32982,92637,35688,68311,36354
68044,52816,103141,40922,32108
54197,61683,54214,42805,69658
35936,33548,44228,104335,56307
86647,50798,51860,74385,91671
35846,50086,136204,67094,84503
40692,49575,50713,35786,59214
56366,49604,91312,45862,59556
65528,59965,70821,62831,117570
36357,63594,36568,29348,44440
56790,45675,90712,56679,52864
