Business and Finance, Data on the monthly revenue of different companies, USD, t
NovaEdge,DataPulse,SkyBound,TrueNorth,BrightEdge
45462,17937,31598,43863,62529
25128,93173,56147,41749,19656
52322,59377,50885,44149,55835
50401,49847,41413,54724,73220
15279,50073,50435,65984,65839
47208,53436,42937,47197,67920
63025,54852,50767,63516,59270
81317,57818,66823,56762,43543
38564,50422,37745,40083,58534
62672,50300,28688,50796,63186
77088,73862,57975,4220,53925
68585,62625,21219,48976,52606
39820,38306,118541,55360,94078
103494,54399,63810,36261,63505
32032,46914,105456,48420,31074
61778,57261,51595,46222,55759
71100,43438,58542,44198,66053
55564,48853,60847,26095,81307
72329,28561,90119,44560,31105
63275,50083,46328,29685,50493
46165,81166,120639,43426,65102
49027,54967,18395,56644,114910
75199,29892,40173,51687,46349
63934,39237,69920,42198,48140
33803,68523,34780,50861,58917
44276,41306,57891,46475,100630
47509,35192,73900,54764,59563
21711,49997,27015,51261,66980
45488,56758,52868,56961,85895
22010,51224,65781,51511,43030
50677,54916,75639,39836,45671
48914,32610,58192,42854,52188
80798,53754,63211,49542,67886
36582,39959,41701,57661,18370
42209,89911,66086,66924,31569
62101,74061,28447,40648,44760
46393,72710,53096,44358,57659
54563,73589,30927,30988,37850
25426,48002,95266,42396,47943
38951,31885,56214,43187,73636
95265,57966,47846,38326,74661
70845,51180,70176,38071,33595
57059,54173,59396,72018,26812
7621,52431,37379,59116,57334
55583,25416,38702,51915,55065
48906,37502,45279,63633,82654
62963,52356,60944,64377,29478
40581,49751,42787,19951,66667
49068,48020,82710,20055,91995
79362,40907,64514,58950,40988
46378,34571,109134,29734,94748
35072,50424,61387,35216,52786
58025,30751,45218,48167,65332
73217,53726,59798,39758,54498
44766,61326,45825,75669,46930
51618,63146,41337,24849,91105
76580,66250,56491,56801,94272
58016,59416,49459,55376,49311
36681,43924,33151,70704,51369
44937,57738,45519,45038,77144
73397,66750,60915,35736,76398
51725,60548,49881,56553,85720
108074,63500,59433,56538,45359
64489,48407,49093,52254,88998
35733,27013,7187,85943,71751
40063,28659,85934,37144,61278
54856,73103,69060,40928,44403
63344,63801,42767,30966,4916
37041,46804,63131,35377,56098
54214,53231,74363,62293,46848
61050,68683,51581,62049,62267
45745,50018,75793,56872,44789
40363,36119,55258,54121,51481
32754,62683,45223,7639,45496
26021,38534,31544,32569,65404
65975,23493,57798,83625,50154
39898,37995,53395,37150,71771
58201,50528,51222,34877,102449
50022,38772,21223,55169,77824
36676,70248,59800,7050,53210
28962,60915,61695,31260,49981
64931,52352,73965,59557,81430
57800,55398,57404,75137,61685
45884,56190,65719,32299,44306
54056,57004,48564,33633,114205
46836,19516,72942,43222,40836
39090,55027,59439,74564,66001
45143,81485,58897,9179,10777
93051,74633,61441,38059,49612
26705,42644,51985,50123,57777
77662,60322,71952,24181,66803
65990,42492,86885,49688,48457
48504,33694,69254,63681,53078
52354,66500,55630,67809,63152
67341,52910,56683,67129,14683
64959,72286,41537,41935,69113
34141,66796,75528,66591,17800
22146,56964,60177,102985,46038
56686,74577,61411,36728,73624
33697,58581,43701,52735,38116
29370,37174,25379,48925,57545
17949,55205,62687,43224,72357
36919,34115,61715,27148,52819
33899,73806,77693,91608,80218
88807,58155,64120,26894,58351
28960,56241,69693,52554,38722
55290,69806,56540,44980,37817
78761,126785,49856,47183,65449
64616,83024,55054,68999,50300
27427,27229,52442,74153,43756
49343,39093,61808,27512,67924
45254,38628,53411,32736,17371
47177,44524,60348,46179,52990
43230,52133,61673,66151,79236
45598,40062,26323,62929,68986
62104,52704,69366,34569,44842
44979,62101,49566,39678,93328
9219,61317,71584,62390,63849
