Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, normal
Fairmont,Glenhaven,Yorkton,Highvale,Creston
57578,54494,50365,56496,51636
38854,43197,57018,58267,48015
40964,29189,45044,49457,53199
48815,65100,43683,57852,49194
41154,50858,65992,53669,46833
35247,40779,55380,52472,48034
60353,56731,72327,53683,57766
51149,56605,37278,54691,43439
46832,46738,42229,57551,55752
45352,36204,46122,43223,38709
41257,62394,44970,56140,53898
30297,36274,53956,49007,51466
48819,38004,45456,39243,41488
38831,65432,60513,52552,42549
50257,39341,55721,60757,52125
37129,38318,54267,47815,44872
52345,43136,44844,37215,37177
41383,53801,43492,63412,43054
39325,46586,52522,55580,47388
59406,43607,32777,42938,58813
51827,42328,49580,47335,44731
57112,45723,39616,43712,39731
34955,56286,35671,54029,53785
48629,39404,49280,54574,59801
45005,53897,64875,48814,41984
40153,43423,49935,28780,51775
51060,37938,51527,51145,45251
45292,35057,60821,41494,53157
53231,53655,29466,50589,44156
48964,51009,43746,41240,46377
71391,56373,46784,44355,49698
44195,50185,48568,38038,40290
41877,34109,28917,58187,53218
54372,52109,46228,51366,51902
41836,34854,45371,50369,42551
41435,44573,48187,52743,48678
42854,53604,53901,46913,54983
41168,40862,63767,57460,34325
49245,47812,49595,51625,57114
50491,40449,36435,55578,49101
46760,41961,49769,56156,40802
43944,47878,43727,42336,28453
48952,48705,47243,53906,47976
44614,43263,63282,57273,43981
45145,49918,48706,48265,48384
39377,45197,41704,35972,46640
48800,57788,42981,38457,42830
50527,59318,51441,51784,46241
40097,48195,66281,46022,34533
41919,50197,37164,53831,28493
42033,54320,59300,40922,64881
56498,53746,60318,48258,50040
47034,26578,50613,64868,58160
45159,45968,47201,41289,52674
60099,42271,43693,43989,44834
39233,75033,61238,46984,41274
35667,66646,52634,42865,51266
57063,38154,32391,56558,46050
45281,57748,35393,61592,46444
49945,51850,43640,40203,52680
37385,45129,66696,45303,52847
33442,59061,44283,52632,51659
40986,46948,48280,59056,56721
72654,44807,54578,47068,42682
36582,39817,34799,41640,31679
47560,47123,44887,63906,48594
31696,47973,41063,57457,56716
41382,49086,49166,58935,42216
28980,60690,48191,51964,41123
50030,54066,56753,42891,45363
64935,49929,55139,53208,36103
47953,40286,36220,40808,50845
45558,50918,41946,44753,39437
48830,47487,58225,51060,48669
32839,50013,44224,51603,38513
50083,48064,53532,40746,53570
43381,40729,57994,50980,44820
32204,50400,42058,57462,41786
47197,41148,45158,48368,35133
44724,52591,53227,51239,51053
50065,65084,50337,46261,44667
37550,28555,45641,43794,49748
41778,38947,41463,49745,56624
42441,43269,48281,39390,49236
64562,53502,42471,47955,38097
44755,40211,51587,41662,33584
41315,50120,44345,44645,48275
39014,50885,51439,43847,38228
59986,50153,59060,45842,47811
47409,53638,45688,61769,48443
45901,36934,48613,50838,53399
51384,57235,56448,38025,53508
47997,51806,29527,41776,45183
41036,46690,39048,39807,44722
47014,40657,58360,61302,54359
59101,48026,32710,50032,39163
33729,63231,57195,57564,60552
54759,50906,51797,39820,46119
53147,49521,50978,51170,46376
48137,49093,26594,48138,50807
47762,50849,51508,56785,48180
44454,43543,58814,48781,46352
58323,54348,37484,56191,54323
60438,60667,68969,47663,50923
53305,51498,78549,48058,54133
44915,53449,49528,55822,40782
53010,65376,38938,43417,55514
45401,50891,33440,54745,47339
52671,50659,39109,52729,48038
46378,43841,47510,54324,41149
38212,34376,58136,49173,53522
43619,40053,45053,40726,38369
39500,57573,34908,38140,62780
42960,56600,30249,50359,40876
51545,37857,49208,60645,37553
48951,31427,59805,61975,65426
45412,56703,43721,37298,47318
40534,49423,55197,48591,31823
48197,45852,46519,50651,44143
46016,44705,40810,51182,35005
