Business and Finance, Data on the monthly revenue of different companies, USD, normal
TrueNorth,SwiftLink,PrimeVue,PureSync,EcoCore,BrightEdge,SmartHub
55890,41110,53739,22296,61500,40766,76656
42672,59617,55414,40993,55764,55129,68266
70224,55513,43405,49574,51790,64515,95184
59332,38567,61603,38724,71884,39243,46525
71346,43520,55134,43195,9871,47503,61112
51948,25964,45602,60402,57943,35563,95030
58717,74465,46411,35154,42452,60765,38518
49734,62879,61096,24883,22419,62075,82768
60062,68647,66502,55179,69637,45616,65277
51617,40752,40967,52085,32479,28326,74158
33748,59413,51574,52474,45297,29754,52884
37873,50937,41581,52505,64181,47428,72993
43801,49213,32984,38730,51683,73690,52738
61401,74633,40631,37805,57841,32082,78406
52337,62573,55667,35663,50918,53259,56981
61796,60305,34179,34876,42389,24935,32621
21902,51894,33681,39291,51394,47649,71018
39118,46530,66845,33392,38506,46792,36071
34663,48604,46315,29592,29163,23966,75007
34614,39793,41382,53658,35571,42073,66697
37789,54743,61554,42285,57524,46682,36170
50175,72580,63831,25747,44970,55045,29126
59562,41089,82460,39178,59480,32714,41212
34302,77981,35876,40799,33747,56746,46930
49753,64025,27722,59205,58361,67777,80472
58360,56911,64141,57366,60122,56996,73288
55768,45415,54905,22469,69439,46128,55761
54494,58800,58123,39610,43025,16363,99459
44516,85864,40379,40705,31757,68767,70584
74429,61165,62523,54196,27795,25228,21901
43272,60211,71924,39023,33718,38279,44648
44286,66182,74773,65500,43601,58258,46330
65406,56777,36480,34194,66112,61129,74292
49629,56302,63510,39327,47133,27803,49681
57703,66776,48876,43323,44020,21131,67729
32092,23774,56353,31942,39427,21595,107204
73563,51735,53288,33323,56695,24861,51427
41749,77843,81970,14832,33447,63753,47027
55347,59734,36966,48467,70831,37936,48390
67211,52580,68798,29266,24783,44338,48337
52287,45295,52460,26101,35399,36521,58604
50366,75553,34779,37784,38780,45853,53870
25267,45469,52908,39333,50346,59901,61386
46688,48131,23271,24395,41074,46254,71198
42127,54036,45611,56553,59439,21725,74647
44902,41395,47299,33418,77211,72765,72010
33510,48366,35957,69151,48308,36781,49201
38950,61752,57197,67413,80087,73737,85068
39180,73422,48904,55392,58910,16581,50159
43920,60401,47976,39335,60796,60732,29444
53371,38742,47185,55735,23981,55854,58040
52217,70042,48444,16555,46590,69615,19866
49130,82763,52278,48689,37671,40850,71537
42444,64323,61163,56847,24337,21995,53926
44865,55932,53670,35876,52256,68586,36965
34840,49777,49542,22835,49472,48435,71705
66502,43729,46556,22702,64806,34705,64704
73946,84189,56863,53904,4841,48103,61442
40382,53797,55974,50467,30281,159,84279
41534,66690,50785,47337,59450,33016,51132
44935,67004,44376,46648,52479,28488,35386
57367,50455,68807,46815,73039,64436,54947
74318,57138,74901,33272,20006,38216,81830
50945,59003,63668,39070,29980,71189,70986
67309,50433,48822,27121,40091,48241,50033
32970,31598,62194,26335,49172,68225,84331
34685,69081,55398,38213,55855,27656,57316
44491,53289,46188,15503,68036,45798,75242
60814,55128,50498,16542,29693,55935,29581
41615,27525,78905,42703,54536,54533,87063
43793,51329,48027,53660,22937,39444,57737
71567,42281,40860,29727,35171,42375,72076
26164,66209,56534,47535,48097,60746,59570
58095,55972,61892,47363,50755,64120,39904
29200,42201,33485,35123,60167,41937,46791
27474,72980,39502,55945,46975,59043,71549
9438,59666,59897,19133,62085,40971,48425
29311,34661,80220,10632,37127,41028,42839
57238,76685,82218,47381,55977,48214,70948
49274,52473,57921,32655,47185,51440,45800
56064,36280,65298,47916,41202,22992,70793
59676,53447,64957,61596,43413,35770,67247
48672,68746,50940,55726,49539,37725,69727
36411,44687,35174,23197,42943,54244,67451
65752,41877,35486,28463,58144,51517,50478
45862,65389,60469,44810,58507,75304,43253
38678,73400,38042,36043,57353,18173,40125
62477,33987,70884,29275,70957,54235,84423
44395,46546,45216,49197,45292,23057,77734
51511,41246,61013,42549,40807,46513,69564
39820,41780,51714,28509,44870,39942,51405
35880,48093,57352,27749,34307,48988,48688
53204,39924,57179,34851,44487,17454,78525
48552,55598,58104,59412,27662,50540,74264
54716,62556,53907,37384,20024,24096,70556
42653,70635,63063,48411,65480,49756,66819
41827,52797,46918,37222,35428,53425,58715
59595,58451,55153,27466,56437,36728,81557
38214,49303,57788,25997,45724,38807,82861
39479,45415,32140,38366,28577,24932,49022
58034,43193,46349,58123,45144,18937,39056
57102,34531,41975,28093,7380,717,70099
45572,53804,42144,61143,52408,56619,60247
36741,66155,51651,57710,51639,48838,69862
39504,36635,50367,62307,54592,78888,59989
37105,48607,42552,51513,37576,20581,79028
51958,60608,74194,40487,52460,53017,74431
41382,65208,31447,46269,42287,43422,31361
59966,49566,73348,51238,64487,78396,61762
38318,65453,58483,46213,41566,45252,48944
41987,39153,59301,55306,43200,22752,51101
55803,68101,36688,21608,46385,64345,35563
43527,47240,35530,44626,46701,36484,61259
57725,64023,63581,47832,33375,47369,88904
32942,55147,63578,39345,55265,77787,52659
27154,61560,52583,37064,66152,36270,58383
47366,43187,48666,42910,67720,21980,86940
45187,56179,59940,43517,51897,56038,65954
22735,31046,60670,63304,34108,39527,59439
45820,68668,36263,58273,28961,29511,45230
