Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, normal
Quarryville,Brookfield,Creston,Rosewood,Zephyr,Dunvale,Ironwood
2885,2034,2193,541,572,2502,1968
2283,2106,1753,1404,752,3028,2023
2707,1605,2119,869,871,2809,1981
1921,1490,2766,528,896,2365,2275
2816,1755,2367,819,1504,2711,2182
3076,1354,2256,1027,722,2702,2065
2839,1484,2157,1199,503,2607,2302
2411,1745,1957,1195,903,2392,2130
2700,1724,2914,434,677,2857,2078
3038,1289,2277,1463,714,2402,2110
3186,1985,2537,882,1888,2440,2096
2761,1583,3007,867,989,2701,2052
2409,1948,2529,273,1351,3187,2112
2447,2022,2232,579,758,2616,1947
2620,1715,2511,439,791,3072,2074
2779,974,2825,981,1368,2656,1882
2277,1715,2483,985,1233,2378,2217
3219,1265,2102,831,1135,2543,2306
2437,1784,2802,285,590,2922,1984
2692,1823,3110,1190,910,2617,2061
2385,1926,2038,1005,1415,2707,2038
2675,1157,2518,984,836,2699,2202
2331,1845,2507,1077,1435,2684,2095
2680,1801,2788,1255,1160,2706,2119
3234,1589,2414,857,1463,2654,2250
1908,1918,2069,686,834,2968,2030
2933,2066,2266,1004,1339,2591,2238
2713,1670,1942,589,700,2385,2114
2597,1794,2306,827,1138,3048,1984
3163,1916,2906,1066,589,2749,1847
2301,1639,2602,1037,1052,2716,2013
3177,2169,2448,1,1588,2389,2188
2860,1347,2808,949,1388,2501,2215
3168,1846,2634,1027,891,2675,2250
3123,1528,1509,710,1188,2643,2053
3135,2220,2515,1607,1610,3064,2298
2805,1578,2202,1024,1266,2878,1972
2983,1353,1871,904,834,2668,2061
3176,1933,2511,949,1327,2966,2048
3195,1239,1572,845,1073,2486,1942
3050,1135,2462,713,353,2778,2170
3158,1432,2350,804,995,2737,2237
2671,2288,1945,1116,1237,2511,2152
2536,2188,2438,779,522,2685,2185
3052,1741,2273,876,1055,3036,2085
2671,1672,2722,109,1086,2744,2127
3387,843,2855,1117,1113,2747,1946
2654,1500,2951,754,918,2640,2028
2658,2163,2212,1062,728,2845,2157
3278,1849,2555,958,509,2642,2031
2761,2054,2441,839,1925,2726,2209
3324,2172,2261,1510,543,2922,2279
2418,1933,2783,1196,864,2586,2220
3053,2313,2223,35,732,2336,2030
2244,1623,2841,1074,903,2852,2123
2635,1912,3102,738,649,2522,1959
2733,2054,1752,1653,803,2777,2086
2359,1426,3062,694,1470,3125,2160
2276,1721,2689,417,1519,2932,2248
2067,2043,2514,723,876,2867,2038
2560,1429,2585,1291,897,2837,2159
2030,1525,2245,813,1370,2072,1971
2028,1801,3039,684,318,2863,2046
2667,2136,2713,1406,1310,2797,2040
2703,1573,2271,1485,1601,2773,2028
2329,1117,2446,774,1146,2943,2200
2692,1881,2527,1308,334,2652,2176
2287,1637,2699,370,1733,2429,2010
2568,1882,2304,1364,989,2727,1900
2501,1531,2042,400,870,2552,2127
2725,1799,2674,716,1306,3002,2065
2979,1501,2566,1061,1114,2800,2180
2933,1778,2519,1709,1414,2499,2029
2521,1111,2483,1239,1884,2707,2188
2724,1964,2217,334,803,2544,2024
3024,1847,2999,1432,1469,2423,2084
2881,1997,2572,1672,741,2942,2104
2943,1802,2288,463,1362,2490,2230
2918,1589,2388,1622,944,2826,2130
2345,2009,2417,651,1459,2618,2016
2647,1996,2497,1029,968,2908,2103
2828,1811,1990,884,920,2520,2020
2806,1857,2535,989,912,2405,1974
2507,1185,2693,101,1313,2647,2232
3238,1511,2161,750,1000,2349,2138
3081,1599,2686,1576,580,2690,2097
2557,1843,2385,996,1307,2517,2032
2463,1832,1911,28,666,2594,2104
2578,1917,1883,639,800,2758,2152
3038,2028,2706,1146,1269,2152,2094
2929,1659,2540,1291,1281,2647,1922
2650,2073,1207,216,691,2339,2004
2566,2028,2684,777,795,2825,2134
1982,1885,2895,1501,1149,3195,2242
3050,1870,2781,978,1277,2763,2104
2281,1900,2147,387,1571,2810,2184
2244,2383,2771,1155,881,2473,2051
2307,1757,2992,1046,711,2573,2304
2313,2065,2827,679,1130,3098,2205
3162,2004,2659,712,676,2679,2137
3314,1888,2282,748,1606,2844,2272
2986,1471,1858,1460,769,2728,2208
2730,1695,1959,1183,921,2835,2148
2989,1752,2535,444,1071,2539,2163
2933,1740,2681,404,810,2766,1848
2566,2117,2371,1306,936,2900,2200
3130,1517,2495,865,987,3038,2309
2493,2225,3116,1470,1313,2640,2203
3097,1668,2603,100,1035,2673,1906
2637,1663,1882,68,1337,2299,1990
2703,1730,2253,1320,990,2780,2203
3066,2005,2126,810,1194,2681,2153
2916,1951,2436,1378,906,2479,2095
3081,1510,1879,1101,1396,2601,2138
3231,1610,2819,507,1042,2666,2012
