Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, t
Creston,Brookfield,Lakeview,Ashford
1978,2927,1850,1682
1856,2788,1882,1731
2121,2933,1944,1523
1927,3041,1821,1511
1984,2835,1912,1670
1776,2787,1980,1621
1892,2684,1905,1575
1749,3124,2037,1659
1724,2897,1900,1770
1615,2883,1928,1642
1842,3098,1964,1679
1666,2851,1819,1649
2028,2998,1929,1751
1838,3081,1853,1617
1949,3119,1854,1676
1991,2861,1921,1622
1798,2919,1941,1717
1765,2982,1904,1737
1893,2856,1966,1840
2042,2956,1945,1749
2013,2958,1914,1619
1889,2889,1839,1704
1963,2840,1914,1504
1868,2960,1982,1445
1971,2952,1942,1957
1867,2980,1828,1646
1876,2895,1958,1605
1690,2804,1928,1790
1812,2983,1911,1652
1686,2861,1935,1642
1887,3020,1924,1640
1854,2901,1804,1461
1531,3031,1865,1571
2164,2975,1842,1753
1851,2974,1856,1588
2058,2981,1912,1449
1846,2817,1825,1659
1961,2907,1925,1591
1957,2746,1825,1601
1733,2974,1804,1813
2100,3011,1944,1737
1781,2959,1866,1542
1684,2744,1929,1582
1794,2911,1854,1929
1867,3050,1821,1748
2130,3057,1894,1624
1959,3099,1908,1466
1680,2920,1924,1857
1875,2851,1905,1634
2074,2891,1916,1660
1946,2982,1933,1734
1801,2868,1851,1628
1672,2972,1786,1552
1601,2743,1886,1634
1860,2940,1924,1602
1828,3061,1896,1458
1916,2928,1871,1646
1992,2944,1897,1610
1712,3005,1938,1818
1760,3116,1872,1540
1968,2904,1896,1526
1850,2946,1879,1748
1932,2838,1629,1543
1763,2959,1904,1556
1892,2889,1939,1672
1856,2910,1987,1720
1851,2774,1947,1716
1832,3057,1851,1641
1965,2905,1878,1671
1905,2864,1738,1610
2037,2882,1782,1749
1868,3011,1893,1854
1890,2766,1886,1580
1824,2948,1922,1724
2022,2924,1904,1723
1794,2994,1973,1448
1884,2931,1887,1761
1943,3003,1969,1863
1800,2840,1864,1386
1987,2834,1908,1705
2018,2944,1836,1592
1674,2985,1932,1643
2041,3023,1947,1563
1919,2930,1854,1368
1774,2686,1996,1706
2010,3001,1827,1797
1717,2907,1937,1497
1850,2926,1875,1678
1726,2861,1955,1812
2002,2922,1961,1705
1931,2880,1929,1641
1739,2887,1842,1730
1940,2757,1825,1575
1996,2935,2013,1503
2019,2991,1918,1659
1900,2998,1867,1352
1863,2820,1887,1851
1881,2829,1892,1776
2085,2972,1908,1613
1919,3021,1937,1665
1771,2994,1897,1586
1799,2802,1914,1640
1942,3136,2008,1545
1942,2982,1886,1553
1901,2949,1837,1577
1900,3048,1855,1712
2141,2797,1895,1730
1938,3011,1877,1598
1813,2976,1997,1450
1767,3056,1861,1657
2024,2828,1988,1484
1834,2987,1928,1664
2052,2808,1890,1558
1973,2794,1850,1633
1908,2956,1890,1750
1861,2747,1798,1636
1836,2874,1945,1616
1760,3125,1814,1741
