Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, normal
Rice,Sorghum,Corn,Tea
4205,6217,5210,7136
4028,5948,1136,4000
5391,6608,6457,8537
6226,6292,7347,3292
4947,5750,7680,4707
3259,4513,4872,7053
3700,9802,6150,9609
6014,4317,3244,5804
6187,6369,5649,7058
4273,6370,7072,5509
5963,6524,7462,10003
4465,8863,5777,5952
4746,5841,3899,6449
3723,6251,5263,5980
5220,7056,3161,6449
5053,5639,5830,5977
6108,5405,6756,6423
6045,6195,6332,4697
4381,5397,7893,4036
5122,8940,7927,5930
5305,4334,3534,4958
4998,4760,7109,5681
5870,8292,6027,7148
4334,5079,7238,7857
3933,9543,4944,9668
6013,5775,5452,9284
5217,7078,4916,7552
5263,7512,2819,2303
4288,7079,7765,4158
3696,6757,8578,6982
5820,3888,6743,8743
5866,7932,5724,6826
4391,9268,5972,5716
6021,7359,6850,2907
3682,4511,5960,4254
6920,7868,5392,6547
5116,5533,5969,6073
5882,4539,4619,4443
5912,4964,6649,7779
5301,7383,5227,7165
6691,8065,3951,3116
5430,5859,5901,4493
5722,4676,5236,6372
3531,5039,3679,5485
6022,2332,5478,3987
4989,5450,4667,5619
4424,7712,4590,6020
4302,4921,5147,5500
5005,4570,7284,7353
7131,6222,4921,5413
5138,5661,6953,4572
5765,7745,5152,6708
5590,6627,5075,6715
6235,8511,6110,7054
1016,3996,4703,2398
6127,7273,4811,4363
4973,5473,4984,8425
5154,7500,6680,7251
5679,5607,5833,7527
4399,9022,7578,2648
5187,7498,3093,9864
4968,7807,5532,4413
5725,4659,5888,5180
4308,7549,6990,7415
5654,5590,6766,3553
4857,6165,5761,4523
5062,5862,4357,6155
5173,5176,3111,6050
5100,6771,6552,10488
3672,7592,8390,6724
4713,4719,7463,6774
4580,4889,2500,5240
3034,4888,6755,6379
6435,8470,7968,6323
5518,8171,5815,8183
6023,4957,5304,6326
6091,4710,5501,6472
5815,6017,4769,6883
4682,6173,5831,7197
3968,6366,5938,5408
2460,4936,4994,4754
5708,5969,6004,6347
5572,8558,8079,5670
4482,7031,3799,7047
4069,6573,4090,6929
4610,4566,5382,9732
6171,10009,6239,6437
5559,3490,4501,6407
3931,7238,8116,5765
4291,4684,4425,5212
3012,8452,2873,3079
5673,7403,4361,4077
4874,9071,6732,5249
5343,5115,4244,4657
4272,6858,3208,7910
2692,5947,3691,4758
4617,5520,4593,3589
3728,5267,5880,7026
5114,7802,7771,1477
4030,8358,5683,2434
5955,3654,6031,3441
6150,5567,6718,4260
4174,4408,5568,4968
4195,7540,6404,5902
3965,4385,4922,2593
4824,5592,6961,1127
5519,8202,3673,3770
4464,7144,2184,8058
4461,6521,5545,6916
5032,2968,8013,6655
1693,5736,3158,5417
4930,7956,6272,6309
6295,5880,5492,3636
5049,9104,6610,8147
3166,7942,5252,5579
3228,5460,5776,8465
4732,7083,7635,4275
6501,7543,7034,6672
