Education and Academics, Data on employment rates in different schools, %, skewed
Maplewood School,Crestview High,Glenhaven Academy
98.97,74.26,74.98
103.89,76.66,91.44
104.81,75.07,82.94
78.39,80.43,73.49
94.88,76.08,91.92
100.5,80.7,82.71
83.09,81.43,79.2
91.71,83.8,77.78
91.58,81.11,79.4
84.89,90.75,83.8
79.34,76.62,75.84
82.99,75.35,75.93
84.21,87.44,76.02
94.81,90.8,72.53
87.18,76.34,89.53
110.91,77.29,93.37
87.02,85.44,74.92
90.76,81.53,73.4
85.64,87.61,83.65
80.46,80.3,80.51
93.01,84.8,80.9
85.03,78.22,76.04
90.42,78.79,87.94
78.26,80.3,82.42
102.24,79.35,74.87
84.27,84.37,87.58
85.94,77.89,88.22
78.75,79.54,92.85
78.92,84.91,77.9
86.81,75.24,82.64
98.15,79.11,83.54
90.54,80.09,88.47
77.94,80.44,84.91
102.21,77.16,78.45
84.27,82.76,80.36
93.39,84.42,83.59
95.75,92.89,80.74
106.37,99.38,73.6
84.95,80.09,87.88
84.58,102.11,78.05
80.99,80.74,73.71
82.34,81.4,79.79
88.47,88.54,87.03
86.61,106.21,76.68
87.64,83.24,74.62
98.59,82.73,81.4
96.27,79.02,81.22
94.38,87.04,73.38
89.14,82.75,92.54
80.56,79.87,76.01
86.96,81.65,75.94
88.49,82.36,108.56
90.8,74.81,81.16
85.9,81.09,83.21
80.52,80.43,92.0
92.32,74.16,78.7
93.9,77.45,80.05
80.83,87.27,75.8
91.37,87.23,74.74
84.97,75.16,100.87
98.57,79.03,73.76
81.29,90.35,81.3
96.05,81.34,85.92
89.62,75.73,74.13
87.25,78.64,75.26
88.49,76.55,85.44
76.22,77.37,78.74
79.83,84.34,78.58
94.92,87.13,84.13
85.09,81.05,97.8
85.44,84.31,76.88
83.34,84.08,75.35
82.14,89.74,76.18
86.46,84.39,81.72
91.36,90.42,75.06
84.79,81.78,75.18
88.23,80.6,90.27
82.85,98.43,79.33
84.79,80.47,72.19
85.55,77.19,76.1
89.81,91.39,83.22
79.04,80.08,80.45
87.19,81.81,79.87
135.11,81.45,89.95
78.73,85.41,77.62
89.62,92.76,91.53
92.59,81.59,80.51
80.52,81.34,79.65
97.83,83.49,81.26
86.78,78.7,74.94
101.36,87.35,78.19
103.22,81.03,95.04
100.9,89.31,75.05
88.94,85.6,90.29
86.46,94.86,82.77
88.17,87.43,83.5
106.35,83.19,93.05
77.23,90.85,77.39
90.09,80.1,98.44
85.17,88.0,82.53
81.33,90.81,77.23
88.19,94.38,75.36
98.27,75.0,85.39
104.42,85.16,74.97
82.23,82.15,78.34
81.3,79.15,84.72
89.01,83.45,75.91
84.73,74.49,85.8
85.56,75.78,77.37
84.34,96.11,78.3
95.67,80.7,83.53
88.52,77.25,78.63
83.87,85.48,74.41
89.17,77.39,75.21
100.48,75.8,76.9
96.67,78.51,85.03
93.33,78.99,82.39
81.19,77.95,78.75
79.55,86.14,94.11
85.41,86.32,78.62
