Education and Academics, Data on employment rates in different schools, %, skewed
Glenhaven Academy,Lakewood Institute,Fairview School
84.03,82.97,86.91
84.91,81.13,81.21
85.23,84.03,79.15
85.16,86.83,74.05
101.79,98.76,109.47
86.66,74.49,82.78
75.09,84.26,79.05
71.75,74.31,76.28
87.29,102.77,85.44
100.92,80.19,78.73
92.35,89.49,79.74
77.64,87.97,74.23
76.78,113.57,85.92
87.29,72.58,80.14
82.55,86.53,85.91
76.96,96.74,82.15
83.41,81.32,78.1
81.71,81.34,78.24
74.81,91.47,93.83
83.24,106.61,81.6
76.53,89.69,73.98
98.03,78.58,73.44
104.24,72.84,89.53
74.41,77.02,76.71
88.94,86.13,85.41
82.21,78.82,73.89
73.96,73.2,80.23
100.98,89.66,80.37
84.86,83.84,86.42
80.91,87.45,74.1
81.1,78.91,77.51
104.79,77.99,81.82
85.54,94.65,82.88
76.75,80.45,73.58
88.49,79.58,72.95
91.4,75.7,94.38
90.98,83.32,71.16
94.0,78.0,81.13
78.79,76.08,83.62
76.57,90.01,85.38
81.02,81.2,88.19
74.47,84.48,74.65
77.05,86.62,72.72
95.52,83.13,79.75
72.37,83.39,77.82
88.88,76.48,89.77
89.52,78.38,73.52
81.65,88.41,77.76
82.26,118.18,80.77
90.68,87.21,85.59
80.5,89.82,97.71
81.16,79.37,71.87
78.75,80.32,75.28
74.33,97.72,77.43
84.09,92.62,83.12
105.38,139.95,76.14
79.38,84.29,88.25
90.17,78.49,75.86
87.53,94.24,83.86
86.96,120.32,74.0
78.14,81.99,75.26
72.49,78.37,85.03
88.53,83.03,86.67
82.86,85.98,77.95
79.15,89.09,81.67
75.44,90.9,79.87
87.5,91.33,75.1
113.65,75.25,86.65
80.17,94.45,80.03
82.81,76.59,76.25
101.27,82.09,72.86
74.06,86.76,86.93
75.46,89.2,72.2
85.23,112.38,86.7
86.15,90.35,89.92
103.76,75.97,83.02
117.7,110.48,78.09
82.92,98.26,77.21
91.43,92.45,85.19
87.72,74.57,73.68
84.35,84.79,82.91
78.52,86.67,84.18
86.22,101.88,74.47
76.67,80.06,83.98
101.54,88.95,86.06
107.66,96.24,75.8
76.35,89.65,81.76
81.51,83.65,86.24
77.5,100.01,72.27
117.47,98.97,78.61
89.02,87.59,85.35
90.75,83.92,86.85
81.68,83.58,73.68
81.22,82.92,85.8
81.68,84.3,76.04
83.89,79.14,72.13
83.22,79.2,73.72
113.64,89.23,92.93
84.78,88.39,77.51
80.32,87.48,84.8
82.68,76.32,75.93
98.83,85.92,79.18
87.59,78.17,76.95
81.38,90.02,72.34
79.27,111.49,84.98
76.64,85.41,91.24
82.61,79.21,81.53
97.05,82.93,78.81
80.88,81.36,78.8
91.38,101.46,75.14
91.08,80.01,74.13
90.09,76.42,82.09
77.08,86.88,78.26
83.74,74.61,80.33
83.78,101.47,82.65
95.89,78.39,71.3
81.71,81.08,82.39
75.36,92.65,77.26
79.46,80.3,83.88
81.62,92.71,74.0
