Education and Academics, Data on employment rates in different schools, %, t
Eastwood Prep,Riverdale High,Glenhaven Academy,Brookfield Academy,Sunnyvale Prep,Meadowbrook High
80.2,87.24,79.15,84.1,86.5,83.16
85.1,84.48,82.41,89.25,88.0,85.7
78.6,85.43,93.08,92.61,87.14,84.43
82.83,85.38,86.79,88.87,89.28,83.79
84.07,90.44,93.8,88.02,82.74,85.18
83.49,89.11,84.19,92.18,86.4,85.92
80.46,87.26,91.59,89.77,88.94,84.17
78.95,87.95,88.82,85.58,90.68,90.98
83.61,87.62,88.15,87.27,86.98,83.05
81.32,89.49,87.07,86.94,86.8,84.87
85.32,84.48,87.65,92.01,91.46,86.99
82.85,89.0,93.03,74.57,90.53,80.26
83.24,93.08,87.85,89.51,86.72,84.72
80.6,78.01,87.74,94.83,86.01,83.64
78.85,90.41,88.88,89.6,89.16,84.75
82.66,87.8,87.97,92.53,89.23,84.76
81.66,82.57,83.28,94.1,89.4,83.82
78.28,86.39,88.07,87.17,86.98,83.72
83.32,90.17,89.06,89.57,89.82,84.83
80.97,87.01,90.01,85.07,88.36,89.27
83.66,87.66,84.84,86.78,88.2,79.14
87.11,89.57,86.61,97.19,84.26,86.1
81.97,88.9,80.53,91.24,89.14,84.18
85.28,90.37,87.77,91.03,89.23,80.74
83.92,87.46,88.1,90.07,87.36,85.68
82.31,88.9,83.35,90.98,89.8,86.62
80.46,87.91,84.31,92.32,89.72,84.97
85.61,88.85,87.24,91.5,89.03,83.04
84.57,100.0,85.86,80.61,88.76,88.82
82.61,85.25,84.0,91.04,89.55,89.33
80.95,79.77,89.38,86.84,88.55,82.07
80.96,89.61,88.76,90.4,88.55,76.6
81.22,82.2,88.37,86.96,86.4,83.14
75.33,84.39,90.44,91.68,85.86,86.36
81.75,87.59,86.42,91.79,89.41,80.91
83.65,89.51,86.9,90.07,90.27,80.92
84.58,87.92,85.7,86.57,87.73,82.06
81.28,85.65,89.83,89.39,88.43,81.58
81.83,88.7,89.58,86.48,93.21,80.99
82.82,86.56,86.58,91.84,86.73,83.7
82.88,84.06,83.95,87.35,88.11,80.83
73.42,86.5,89.86,80.55,83.7,80.96
