Energy and Utilities, Data on daily energy consumption accross cities, MWh, t
Fairmont,Quarryville,Lakeview,Yorkton
1249,2252,3782,6085
2554,2252,4338,5857
2366,2356,4032,5970
2395,2598,3651,5905
2035,1904,3457,5880
2349,2714,3794,5937
1748,2074,3408,5481
2145,2005,3714,5761
2363,2259,3587,6214
2604,1987,3406,5945
2098,2123,3445,5828
2454,2272,3628,6009
2090,2478,3650,5979
2278,1862,3390,5714
3018,2495,3642,5791
1876,2306,3550,5584
2096,2320,3844,6132
2210,2366,3367,6071
2333,1582,3601,5969
2483,2208,3641,6122
1779,2152,3267,5837
2589,2651,3186,6025
2304,2553,3487,5880
2537,2210,3638,5755
2429,2425,4337,6023
2559,2127,3619,5876
2319,2099,4253,5704
2530,2350,3586,5801
2500,2131,3762,6059
2438,1596,3970,5928
2061,1807,3290,5732
2452,2068,3646,5785
2945,2390,3626,5832
2632,2327,3320,6039
2035,2600,3512,6213
1879,1971,3589,5801
2011,2382,3488,5993
2358,2529,3895,5689
2591,1633,3309,5642
1798,2262,3623,5919
2051,2118,3814,5849
2338,2212,3216,5938
2190,2128,3344,5940
2321,2258,3461,5523
1975,2437,3286,6229
2542,2535,3765,5924
2423,2634,3533,5825
2242,2570,3489,5674
2957,2592,3962,5771
2431,2265,3357,5981
2266,2355,3815,5924
1290,2620,3809,5895
2131,2045,2695,5803
2552,2243,3260,6006
2237,1953,3333,5933
2125,2433,3666,5946
2232,2370,3752,6183
2481,1827,3468,5832
2186,2615,3391,5841
2317,2857,3456,5717
2401,2356,3746,5729
2208,2396,3981,6073
2186,2036,4186,5796
2329,2485,3840,5517
2593,2224,3220,6175
2174,2433,4144,6145
2398,2257,3717,6111
2539,1978,3475,5878
1815,1878,3788,5676
2442,1414,3221,5732
2706,2352,3815,5886
2198,2071,3353,5910
2537,2360,3520,5717
1764,2127,3639,5921
2532,2277,3448,5615
2734,2622,3380,5924
1963,2286,3662,6069
2493,1566,3830,5894
2614,2491,3685,6188
2890,2422,3965,5746
2196,2835,3789,5961
2340,2494,3768,6028
2303,2029,3627,5584
2416,2424,3879,5756
1886,2294,3735,5707
1974,2258,3372,5938
2198,2458,3382,6039
1703,2088,3501,5870
3072,1874,3766,5844
2063,2531,3859,5694
2518,2178,3547,6108
2126,2243,3316,6007
2974,2106,3715,5930
2183,2673,3463,5663
1956,2240,4063,5823
1912,2276,3823,5833
1973,2348,3537,5782
2454,2402,3712,6019
2239,2344,3628,5718
2361,2886,3386,5920
1724,2171,4073,5844
2395,2418,3745,6033
2008,2338,3850,5678
2328,2251,4258,5765
2217,2003,3618,5790
2110,2385,3258,5553
2190,2070,3931,6119
2290,2439,3670,5884
2047,1981,3874,5748
2001,2421,3584,5774
2370,2365,3484,5952
1651,2086,3926,5914
1973,1928,4048,5730
2298,2134,3786,5954
2702,2846,3468,5925
2616,2401,3659,6010
2298,2197,3712,5858
2464,2295,3733,5724
