Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, t
Sorghum,Coffee,Wheat,Rye,Oats,Cocoa
6387,5581,5549,6746,4409,5394
6048,5419,5716,7318,5165,4654
7832,5570,5479,7286,4583,4208
7042,4884,5279,6444,6031,4794
6167,4963,5185,7089,5220,4671
6395,4294,4908,6584,5723,4017
8068,5374,4996,6490,5361,4072
6803,5731,4736,6197,5833,4116
7077,3838,5610,7521,5567,4157
5264,5282,5037,6718,6676,3796
6546,4005,5425,5957,7227,4257
6328,6213,5490,7556,5629,4464
6823,5757,5530,7132,6369,4292
6901,4128,5187,6070,4639,4183
6643,5890,5670,6750,5929,4391
7885,5328,5962,5695,6151,4267
6984,5009,5689,7528,5193,4583
6717,5756,5231,6572,5018,3784
7048,5687,5089,7735,5960,4834
6042,6257,4963,6466,5909,4382
6589,4873,5586,5401,5389,3791
6175,5804,5019,6525,6618,3894
6976,4510,5037,6746,6750,3477
6710,5279,5290,6936,6131,5568
6516,5479,5255,7462,6006,3563
5794,6028,5664,6703,6909,4610
6898,5274,4974,7530,6150,4586
6011,6120,5026,7945,6543,4816
6264,5638,4405,6835,6121,3965
6559,5756,5213,6427,6995,5169
7238,4405,5331,7184,6220,4681
7478,5022,5264,6907,4429,4256
6955,5288,5221,7426,6227,4112
6333,5967,4833,6767,3803,3081
6469,5418,4808,7143,6079,3583
6470,5401,4851,6035,5211,4571
7181,5714,5286,6953,4280,4071
6743,5350,6043,6996,6491,3882
6247,5377,4831,7074,6038,4391
6217,5911,6091,7321,5372,4295
6689,5653,5759,6673,6462,5329
5915,5759,6314,6849,5901,4396
6624,4863,4995,6136,4410,4301
6157,5012,5370,6693,4459,4325
6639,5749,4548,7596,6337,3732
6628,5485,5047,7049,5345,4290
6397,6406,5138,6993,5661,4472
8324,5577,5175,6633,6561,5044
7367,5898,5581,6659,5962,3912
6758,5276,5070,7081,5551,4613
6646,5217,4567,6781,6027,2046
6657,5527,4818,6607,4502,4541
7705,5543,5103,6504,5796,3128
6206,3592,5340,6623,6130,4393
7918,5919,5290,5986,4547,4319
6407,4645,4506,7338,5230,3966
6835,5520,4942,7699,6574,3853
6746,5733,5305,7639,5913,4076
6516,6262,5320,7147,4361,5207
6032,5236,4090,6866,4761,4053
6806,4977,5629,7129,5111,4238
5808,4949,5034,7167,5109,4525
6151,5216,5044,7174,4909,4961
6220,5749,5266,6833,6122,4873
8321,5291,5320,7443,5673,4556
6892,4388,5002,7034,5686,4252
6905,6514,5722,6844,6085,4073
5871,6023,5850,6786,5855,3721
6082,5331,5172,7380,6408,4932
6852,6214,5650,7900,5426,2838
7867,5335,5811,6902,5482,5272
6628,5914,5032,7684,5933,4678
6303,5931,5256,7600,6224,4319
6563,6224,5358,7812,5277,5448
6296,5441,5075,7256,4596,4010
7041,5638,5467,6656,5483,3486
7058,5580,5167,7465,5512,4321
5333,5440,4466,6444,6705,4345
6175,6208,5163,6290,5490,4277
6328,5241,5409,7040,4599,4468
6221,5290,5269,6624,6021,4656
5755,5466,5306,7488,5005,5161
7508,5700,5868,7576,6002,3652
6394,5620,5295,7810,5873,4435
7413,4708,5721,7517,4928,3774
5428,5838,5126,7147,5061,4403
7258,5352,5660,6913,6819,4072
6781,5277,5839,6819,5112,4438
7329,5704,4484,7872,6144,3709
7054,5288,5431,6409,5583,3817
6420,5556,5143,6427,5616,4719
6584,4786,4723,6976,4553,4466
6640,3168,5081,7389,5791,3827
7620,5337,5542,6775,5635,4418
7349,5126,5850,7824,6338,4862
5968,5333,5110,7273,4465,4654
7788,4985,5250,6877,6399,4898
7827,5391,5488,7189,5433,4593
5680,5634,5682,6534,5390,3795
7359,6377,5466,6913,5752,4246
6810,5223,4785,7023,4966,4517
8229,4827,6056,8052,5389,4214
6924,5583,5165,7374,6052,4739
6551,5119,4758,7371,5679,4508
7256,5059,4885,7794,5460,5526
6659,5547,5427,7124,6535,4961
5338,4851,5432,7325,5851,4780
6552,5235,4474,7164,5643,5170
6614,6063,5381,7883,5715,3919
7010,5555,4270,5441,6281,4958
5693,4511,5542,6737,6097,4632
6958,5635,5185,6817,4533,3231
8013,5121,4102,6906,6967,4944
6580,5227,4746,6799,4870,3803
6717,4521,5411,6991,6264,3297
6930,4934,5006,6549,7000,4099
7501,5437,5043,6989,4290,3805
6898,6257,5302,6173,5232,3415
