Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, normal
Sushi Restaurants,Food Courts,Steak Houses
2,660,465
273,610,520
774,533,604
240,793,707
187,452,769
242,677,656
401,707,514
268,525,561
191,576,567
476,547,470
956,362,269
389,726,451
562,429,208
756,309,445
571,654,436
322,468,545
691,418,575
479,521,872
527,723,343
455,451,549
553,543,729
18,871,782
786,994,750
623,748,74
545,510,454
771,526,572
197,683,558
469,928,394
296,427,583
508,749,46
413,546,1038
549,565,696
203,779,557
661,731,226
617,688,354
570,416,599
395,429,721
476,709,137
355,596,778
931,403,442
771,393,286
696,87,127
604,895,737
564,581,685
675,442,569
672,680,643
282,449,684
581,620,491
571,841,469
819,381,655
203,531,657
347,548,406
427,323,333
725,597,559
365,917,672
570,719,346
767,602,759
320,858,325
638,711,727
511,708,522
756,404,395
793,138,579
261,203,620
342,499,410
395,640,916
384,389,570
119,538,1008
540,510,352
634,356,582
514,659,713
541,729,614
891,608,307
519,787,1008
996,734,578
123,524,549
321,862,192
98,671,435
542,951,521
63,514,349
767,838,756
640,503,881
178,527,773
3,435,695
157,463,867
269,685,691
493,331,466
604,423,411
398,806,444
929,531,634
23,266,680
566,580,619
453,987,574
427,448,638
358,488,437
625,641,691
301,321,448
140,437,859
452,590,533
628,538,654
487,646,668
677,531,757
535,1017,776
665,728,430
663,468,341
512,151,545
787,353,359
661,497,849
934,905,808
253,973,101
620,611,534
473,706,477
619,502,707
289,536,471
414,478,399
694,361,430
